Speaker,Original Witch Hunt (OG)
Ushiromiya Ange,"""......Seems that if you get indebted to Okonogi-san, it'll be pretty costly in the future.  ......So, where are you planning on taking me?"""
Amakusa Juuza,"""Anywhere.  I'm employed until the weekend.  Anything after that'll cost you extra."""
Ushiromiya Ange,"""How much per day?"""
Amakusa Juuza,"""I'll take 50 thousand.  Plus expenses."""
Ushiromiya Ange,"""If you stop cracking jokes, I'll double it.  The period of employment isn't fixed yet.  It might take several weeks."""
Amakusa Juuza,"""...That'll be tough.  I'll have to call my boss to get an extension on my vacation."""
Ushiromiya Ange,"""More than anything, I want to investigate that day."""
Amakusa Juuza,"""......Oh, you're talking about Rokkenjima?"""
Ushiromiya Ange,"""That's it.  What happened on that island 12 years ago?  ......I want to investigate it with my own hands, until I can accept it."""
Amakusa Juuza,"""If you investigate something that happened so long ago now, is there really anything new you can find...?"""
Ushiromiya Ange,"""You're right.  But this a journey for self-satisfaction.  ......Once that's over, I'll just throw my hands up and go to the Sumadera family."
Ushiromiya Ange,"  ......Didn't Kasumi oba-san say something about how she wanted to serve me some matcha?  Maybe she'll serve me tea as I kneel on some sharp wooden blocks, clutching stones or something."""
Amakusa Juuza,"""Damn that sounds freaky, hyahhahahaha...!"""
,"""My apologies, we lost sight of them...  A single man thought to be an associate assisted in her escape.  Judging by his possession of a stun gun and his driving skills, he is no amateur."""
Sumadera Kasumi,"""............I see, thank you.  .........What a shame, Okonogi.  Shall I take this as your answer...?"""
Okonogi Tetsuro,"""Letting her get away was your blunder.  It has nothing to do with me."""
Sumadera Kasumi,""".........I do wish to prepare some matcha in the near future for you as well.  The next time you are in Kyoto, please stop by.  .........I'm going."""
Okonogi Tetsuro,"""Oh, are you leaving already?  I could offer you some chazuke first."""
Sumadera Kasumi,"""...............*cackle*cackle*.  ...Ho ho ho ho ho...!!"""
,"With her back still facing Okonogi, she laughed lightly, with an increasingly shrill and hateful tone, using that as a substitute for a sharp parting remark."
,"Just as she stopped laughing, her features suddenly changed to look like a demon, but because her back was facing him, Okonogi couldn't see that expression."
,"Okonogi watched her go, laughing cooly.His secretary whispered over his shoulder."
,"""......Is that alright?  Milady Ange is our company's primary stockholder.  If the Sumadera family becomes her guardian..."""
Okonogi Tetsuro,"""I get it.  But you know, we're also the world-famous Ushiromiyas.  We can't let them take us lightly.  "
Okonogi Tetsuro,"......Still, it looks like that person handled himself pretty well.  ......All that's left is to let Ange-chan do as she pleases.  I'm counting on you, Amakusa."""
