Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES),Arabic (AR)
Ushiromiya Natsuhi,"""Y‐you are mocking us, insulting us!! I find it difficult to imagine why my husband must be coerced into a rule that disgraces him in this way!!""","""Y-You are mocking us, disgracefully so!! I find it hard to imagine why my husband must be coerced into a rule that disgraces him in this way!!"" ","""Y, you are mocking us, disgracefully so!!  I find it hard to imagine why my husband must be coerced into a rule that disgraces him in this way!!""",「ば、馬鹿にしています、屈辱的です！！　なぜ主人がこのような辱めを受けるようなルールを強要されなければならないのか、理解に苦しみます！！」,[=JP],"""Т‐ты смеешь насмехаться над нами, какая низость!!! Я с трудом представляю, почему мой муж должен быть принуждён к правилам, которые его так унижают!!!""","""V‐Você está debochando de nós, está nos insultando!! Eu acho difícil imaginar o motivo pelo qual meu marido deve ser coagido a aceitar regras que vão desgraçar ele!!""",「这、这是嘲弄，是侮辱！！为什么我家主人非得被迫接受这种奇耻大辱般的规矩，无法理解！！」,「這、這是嘲弄，是侮辱！！為什麼我家主人非得被迫接受這種奇恥大辱般的規矩，無法理解！！」,"""T-Tu ci stai deridendo, così vergognosamente!! Trovo difficile immaginare perché mio marito debba essere costretto ad una regola che lo disonora in questo modo!!""","""¡¡S-Se burlan de nosotros, tan desgraciadamente!! ¡¡Encuentro difícil de imaginar por qué mi marido tiene que ser obligado a obedecer una regla que lo deshonra de esta manera!!""","""ﺃ-ﺃﺗﺴﺨﺮﻳﻦ ﻣﻨّﺎ؟ ﻛﻢ ﻫﺬﺍ ﻣﻬﻴﻦ!! ﻻ ﺃﻓﻬﻢ ﺃﺑﺪًﺍ ﻟﻤﺎﺫﺍ ﻋﻠﻰ ﺯﻭﺟﻲ ﺍﻟﺘﻘﻴﺪ ﺑﻤﺜﻞ ﻫﺬﻩ ﺍﻟﺸﺮﻭﻁ ﺍﻟﻤﺴﻴﺌﺔ!!"""
Ushiromiya Kyrie,""".........Actually, I've been suspecting it since last year. No, everyone here probably suspects it. Eva nee‐san, Hideyoshi nii‐san. Rudolf‐san, and Rosa‐san too. Everyone has suspected it the whole time, but it was so dreadful to imagine that no one actually said it.""","""......Actually, I've been suspecting it since last year. No, everyone here probably suspects it as well. Eva nee-san and Hideyoshi nii-san. Rudolf-san and Rosa-san too. Everyone has suspected it the whole time, but it was so frightening to imagine that no one actually said it."" ",""".........Actually, I've been suspecting it since last year.  No, everyone here probably suspects it as well.  Eva nee-san and Hideyoshi nii-san.  Rudolf-san and Rosa-san too.  Everyone has suspected it the whole time, but it was so frightening to imagine that no one actually said it.""",「………私、実は去年から疑ってるわ。いえ、多分、ここにいるみんなもそう。絵羽姉さんも、秀吉兄さんも。留弗夫さんも楼座さんも。みんなずっと疑ってるけど、あまりに恐れ多い想像で口にしなかっただけ。」,「………私、実は去年から疑ってるわ。いえ、多分、ここにいるみんなもそう。絵羽姉さんも、秀吉兄さんも。留弗夫さんも楼座さんも。みんなずっと疑ってるけど、あまりに恐れ多い想像で口にしなかっただけ」,""".........На самом деле, я подозревала ещё с прошлого года. Нет, все присутствующие здесь, возможно, тоже заподозрили. Ева нее‐сан и Хидэёши нии‐сан. Рудольф‐сан и Роза‐сан тоже. Каждый догадывался всё это время, но это было так страшно представить, что в действительности никто не признался в этом.""",""".........Na verdade, eu já venho suspeitando desde o ano passado. Não, todos provavelmente suspeitam disso. A Eva nee‐san, o Hideyoshi nii‐san. O Rudolf‐san e a Rosa‐san também. Todos suspeitam isso o tempo todo, mas é muito espantoso imaginar que nenhum deles disse ainda.""",「………其实，我从去年起就在怀疑了。不，大概，在座的大家也都一样。绘羽姐姐、秀吉哥哥、留弗夫、楼座妹妹。大家也一直在怀疑，只不过因为这想象过于不敬，而没有说出来罢了。」,「………其實，我從去年起就在懷疑了。不，大概，在座的大家也都一樣。繪羽姐姐、秀吉哥哥、留弗夫、樓座妹妹。大家也一直在懷疑，只不過因為這想像過於不敬，而沒有說出來罷了。」,"""... In realtà, lo sto sospettando fin dall'anno scorso. No, tutti qua probabilmente lo sospettano. Eva nee-san e Hideyoshi Nii-san. Anche Rudolf-san e Rosa-san. Tutti lo hanno sospettato per tutto il tempo, ma era così spaventoso da immaginare che nessuno l'ha veramente detto.""","""... En realidad, he estado sospechándolo desde el año pasado. No, probablemente todos aquí también lo han hecho. Eva nee-san y Hideyoshi nii-san. Rudolf-san y Rosa-san también. Todos han sospechado todo el tiempo, pero era tan aterrador imaginarlo que en realidad nadie dijo nada.""",""".........ﻓﻲ ﺍﻟﺤﻘﻴﻘﺔ، ﻛﺎﻧﺖ ﺍﻟﺸﻜﻮﻙ ﺗﺮﺍﻭﺩﻧﻲ ﻣﻨﺬ ﺍﻟﺴﻨﺔ ﺍﻟﻤﺎﺿﻴﺔ. ﻛﻼ، ﺭﺑﻤﺎ ﺷﻚّ ﺍﻟﺠﻤﻴﻊ ﻓﻲ ﺫﻟﻚ ﺃﻳﻀًﺎ. ﺃﺧﺘﻲ ﺇﻳﻔﺎ ﻭﺃﺧﻲ ﻫﻴﺪﻳﻮﺷﻲ. ﻭﺭﻭﺩﻭﻟﻒ-ﺳﺎﻥ ﻭﻛﺬﻟﻚ ﺭﻭﺯﺍ-ﺳﺎﻥ. ﺷﻜﻜﻨﺎ ﺟﻤﻴﻌًﺎ، ﻭﻟﻜﻦ ﺍﻟﺨﻮﻑ ﻣﻦ ﺗﻠﻚ ﺍﻟﺤﻘﻴﻘﺔ ﻣﻨﻌﻬﻢ ﻣﻦ ﺍﻟﺤﺪﻳﺚ ﻋﻨﻬﺎ ﻋﻠﻨًﺎ."""
Ushiromiya Krauss,"""Heh. ......Heheheheh, hahahahaha...!! I see, so {i:this} is what you're trying to say? ......That Father is already dead, and that I have been hiding it!""","""Hmph. ...Heheheheh, hahahahaha...!! I see, so this is what you're trying to say? ...That Father is already dead, and that I have been hiding it!"" ","""Hmph.  ......Fu fu fu fu, hah-hah-hah-hah-ha...!!  I see, so this is what you're trying to say?  ......That Father is already dead, and that I have been hiding it!""",「ふ。……ふっふっふっふ、はっはっはっはっは…！！　なるほど、お前たちはこう言いたいのかね？……親父殿はもうすでに死んでいて、私がそれを隠しているのだと！」,「ふ。……ふっふっふっふ、はっはっはっはっは…！！　なるほど、お前たちはこう言いたいのかね？　……親父殿はもうすでに死んでいて、私がそれを隠しているのだと！」,"""Хм. ......Ху‐ху‐ху‐ху, ха‐ха‐ха‐ха‐ха!!!.. Понятно, так вот что ты хочешь этим сказать! ......Что отец уже мёртв, и что я это скрываю!""","""Heh. ......Heheheheh, hahahahaha...!! Entendo, então {i:isto} é o que você está insinuando? ......Que o pai já está morto, e que eu estou escondendo este fato!""",「哼。……哼哼哼哼，哈哈哈哈哈…！！原来如此，你们是想这么说么？……父亲大人早已过世，我在隐瞒这件事！」,「哼。……哼哼哼哼，哈哈哈哈哈…！！原來如此，你們是想這麼說麼？……父親大人早已過世，我在隱瞞這件事！」,"""Hmph. ... Fu fu fu fu, hah-hah-hah-hah-ha...!! Capisco, quindi è questo che stai provando a dire? ... Che nostro Padre sia già morto, e io lo stia nascondendo!""","""Je... Jejejeje, ¡¡jajajaja!!... Ya veo, ¿así que {i:eso} es lo que tratan de decir?... ¡Que padre ya está muerto, y que lo he estado escondiendo!""","""ﻫﻴﻪ. ......ﻫﻴﻬﻴﻬﻴﻬﻴﻪ، ﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎ...!!  ﻓﻬﻤﺖ. ﺇﺫًﺍ {i:ﻫﺬﺍ} ﻫﻮ ﻣﺎ ﺗﺤﺎﻭﻟﻮﻥ ﻗﻮﻟﻪ، ﺻﺤﻴﺢ؟ ......ﺗﺮﻳﺪﻭﻥ ﺍﻟﻘﻮﻝ ﺑﺄﻥّ ﻭﺍﻟﺪﻱ ﻣﻴﺖٌ ﺳﻠﻔًﺎ، ﻭﺃﻧﺎ ﺃﺧﻔﻲ ﻋﻨﻜﻢ ﻫﺬﻩ ﺍﻟﺤﻘﻴﻘﺔ!"""
Ushiromiya Battler,"""......Yeah, that's right. This is one of the theories I thought of as the key to solving the final mystery in the previous game.""","""...Ah, that's right. That's one of the theories I thought of as a key to solve the last mystery in the previous game."" ","""......Ah, that's right.  That's one of the theories I thought of as a key to solve the last mystery in the previous game.""",「……あぁ、そうなんだ。これは、前回のゲームの最後の謎を解く鍵として考えた、俺のひとつの仮説なんだ。」,「……あぁ、そうなんだ。これは、前回のゲームの最後の謎を解く鍵として考えた、俺のひとつの仮説なんだ」,"""......Ах, точно. Это одна из версий, являющаяся, на мой взгляд, ключевой в разгадке последней тайны в прошлой игре.""","""......Sim, isso mesmo. Essa é uma das teorias que eu pensei como chave para responder o mistério final no último jogo.""",「……嗯，正是如此。这是作为解开上盘游戏最后之谜的钥匙的，我所想到的一个假说。」,「……嗯，正是如此。這是作為解開上盤遊戲最後之謎的鑰匙的，我所想到的一個假說。」,"""... Ah, giusto. Questa è una delle teorie a cui ho pensato come chiave per risolvere l'ultimo mistero nel precedente gioco.""","""... Ah, es cierto. Esa es una de las teorías que consideraba clave para resolver el último misterio en el juego anterior.""","""......ﺁﺁﻩ، ﺻﺤﻴﺢ. ﻫﺬﻩ ﺇﺣﺪﻯ ﺍﻟﻔﺮﺿﻴﺎﺕ ﺍﻟﺘﻲ ﻓﻜﺮﺕُ ﻓﻴﻬﺎ ﻟﺤﻞّ ﺍﻟﻠﻐﺰ ﺍﻷﺧﻴﺮ ﻓﻲ ﺍﻟﻠﻌﺒﺔ ﺍﻟﺴﺎﺑﻘﺔ."""
Ushiromiya Ange,""".........You mean the last one in the previous game, the mystery of who killed Doctor Nanjo?""","""......You mean the very last bit, the mystery of who killed Doctor Nanjo?"" ",""".........You mean the end of the last one, the mystery of who killed Doctor Nanjo?""",「………前回最後の、南條先生を殺したのは誰か、という謎のこと？」,[=JP],""".........Ты о самой последней — таинственном убийстве доктора Нанджо?""",""".........Você se refere ao último do jogo passado, o mistério de quem matou o Douto Nanjo?""",「………是说上盘最后的，“是谁杀了南条大夫”的那个谜吗？」,「………是說上盤最後的，“是誰殺了南條大夫”的那個謎嗎？」,"""... Intendi la fine dell'ultimo, il mistero su chi ha ucciso il Dottor Nanjo?""","""... ¿Quieres decir al final del último, el misterio de quién mató al doctor Nanjo?""",""".........ﺃﺗﻌﻨﻲ ﻟﻐﺰ ﺍﻟﻠﻌﺒﺔ ﺍﻟﺴﺎﺑﻘﺔ ﺍﻷﺧﻴﺮ، ﺣﻮﻝ ﻫﻮﻳﺔ ﻗﺎﺗﻞ ﺍﻟﻄﺒﻴﺐ ﻧﺎﻧﺠﻮ?"""
Ushiromiya Battler,"""Yeah. ......The witch definitely did say a lot in red. ...She mentioned the names of all 18 people and announced whether they were alive or dead, and stated definitively that there are no more humans than that. ......But with this theory, I can weave my way through that gap...!""","""That's right. ...The witch definitely said a lot in red. ...She mentioned the names of all 18 people and announced whether they were alive or dead, and then she claimed that there were no humans besides them. ...But with this theory, I can weave my way through that gap...!"" ","""That's right.  ......The witch definitely said a lot in red.  ...She mentioned the names of all 18 people and announced whether they were alive or dead, and then she claimed that there were no further humans.  ......But with this theory, I can weave my way through that gap...!""",「そうだ。……確かに魔女は赤で宣言したさ。…１８人全員の名前を挙げて生死を宣言し、それ以上の人間は存在しないと言い切ってみせた。……だが、この仮説なら、その間隙を縫える…！」,[=JP],"""Именно. ......Ведьма определённо много наговорила красным. ...Она огласила имена всех восемнадцати человек, и объявила, что они либо живы, либо мертвы, а затем заявила, что здесь больше не осталось людей. ......Однако, опираясь на эту теорию, я могу провести свой путь через эту брешь!..""","""Sim. ......A bruxa definitivamente disse muitas coisas em vermelho.{n}...Ela mencionou os nomes das 18 pessoas e anunciou se estavam vivos ou mortos, e declarou definitivamente que não havia mais nenhum humano. ......Mas com essa teoria, eu posso tecer meu caminho a partir dessa lacuna...!""",「是的。……的确，魔女是用红字宣言过。…列出全体十八人的名字，宣言其生死，并断言了不存在更多的人类。……不过，以我这假说的话，就能找到一丝空隙…！」,「是的。……的確，魔女是用紅字宣言過。…列出全體十八人的名字，宣言其生死，並斷言了不存在更多的人類。……不過，以我這假說的話，就能找到一絲空隙…！」,"""Esatto. ... La strega ha detto parecchio in rosso. ... Ha fatto i nomi di tutte e 18 le persone e ha annunciato se erano vive o morte, e poi lei ha annunciato che non c'erano altri umani. ... Ma con questa teoria, posso farmi strada in quel varco...!""","""Sí... La bruja definitivamente dijo muchas cosas en rojo... Mencionó los nombres de todas las 18 personas y mencionó si estaban vivos o muertos, y también declaró que no había más humanos que eso... Pero con esta teoría, ¡puedo construir mi camino a través de ese agujero!...""","""ﺻﺤﻴﺢ. ......ﻻ ﺭﻳﺐ ﺃﻥ ﺍﻟﺴﺎﺣﺮﺓ ﺛﺮﺛﺮﺕ ﻛﺜﻴﺮًﺍ ﺑﺎﺳﺘﺨﺪﺍﻡ ﺍﻷﺣﻤﺮ. ...ﻓﻘﺪ ﺳَﺮَﺩَﺕ ﺍﻟﺴﺎﺣﺮﺓ ﺃﺳﻤﺎﺀ ﺍﻟـ81 ﻭﺍﺣﺪًﺍ ﻭﺍﺣﺪًﺍ ﻭﺃﻋﻠﻨﺖ ﺣﺎﻻﺗﻬﻢ ﺑﻴﻦ ﺍﻟﺤﻴﺎﺓ ﻭﺍﻟﻤﻮﺕ، ﺛﻢ ﺻﺮﺣﺖ ﺑﻌﺪﻡ ﻭﺟﻮﺩ ﺑﺸﺮٍ ﻏﻴﺮﻫﻢ. ......ﻟﻜﻦ ﺑﻬﺬﻩ ﺍﻟﻨﻈﺮﻳﺔ، ﻳﻤﻜﻨﻨﻲ ﺷﻖ ﺛﻐﺮﺓ ﻭﺳﻂ ﻛﻞ ﻫﺬﺍ...!"""
Ushiromiya Ange,"""..................... ......I see. So this is one of the answers that don't cause those two to contradict. .........I see.""","""...... ...I see. So, this is one of the answers that doesn't cause those two to contradict. ......Makes sense."" ","""..................I see.  So this is one of the answers that doesn't cause those two to contradict.  .........I see.""",「…………………。……なるほど。その２つを矛盾させない解答のひとつというわけね。………なるほど。」,「…………………。……なるほど。その２つを矛盾させない解答のひとつというわけね。………なるほど」,"""..................Вот как. То есть это один из ответов, который не вызывает противоречий в обоих случаях. .........Понятно.""","""..................... ......Entendo. Então essa é uma das respostas que não causam aquelas duas contradições. .........Entendi.""",「…………………。……原来如此。是指不让这两点产生矛盾的一个解答吗？………原来如此。」,「…………………。……原來如此。是指不讓這兩點產生矛盾的一個解答嗎？………原來如此。」,"""... Capisco. Quindi questa è una delle risposte che non causa contraddizione. ... Capisco.""","""... Ya veo. Así que esta es una de las respuestas que no causa contradicciones... Entiendo.""","""..................... ......ﻓﻬﻤﺖ. ﺇﺫًﺍ ﻫﺬﻩ ﺇﺣﺪﻯ ﺍﻹﺟﺎﺑﺎﺕ ﺍﻟﺘﻲ ﻻ ﺗُﻨﺎﻗﺾ ﺗﻠﻚ ﺍﻟﺤﻘﻴﻘﺘﻴﻦ. .........ﻓﻬﻤﺖ."""
Ushiromiya Battler,"""You understand what I'm getting at? ...You catch on pretty quick, don't you. It's nice that I don't have to explain.""","""See what I'm saying? ...You catch on pretty quick. It's nice that I don't have to explain."" ","""Understand what I'm saying?  ...You catch on pretty quick.  It's nice that I don't have to explain.""",「俺の言ってる意味がわかるのか？　…お前、なかなか察しがいいじゃねぇか。説明が省けて助かるぜ。」,「俺の言ってる意味がわかるのか？　…お前、なかなか察しがいいじゃねぇか。説明が省けて助かるぜ」,"""Улавливаешь мою мысль? ...А ты быстро схватываешь. Тем лучше, мне не придётся ничего объяснять.""","""Você entendeu onde eu quero chegar? ...Até que você tem um julgamento bem rápido, não? É bom que eu não preciso explicar.""",「已经明白我所说的意思了吗？…你的理解能力挺不错啊。省得解释了，帮大忙了。」,「已經明白我所說的意思了嗎？…你的理解能力挺不錯啊。省得解釋了，幫大忙了。」,"""Hai capito quello che sto dicendo? ... Hai afferrato piuttosto in fretta. È bello che non debbia spiegare.""","""¿Entiendes lo que digo?... Lo captas muy rápido. Qué bueno que no tenga que explicarme.""","""ﻫﻞ ﻓﻬﻤﺖ ﻣﺎ ﺃﺭﻣﻲ ﺇﻟﻴﻪ؟ ...ﻳﺎ ﻟﺴﺮﻋﺔ ﺑﺪﻳﻬﺘﻚ. ﻭﻓﺮﺗﻲ ﻋﻠﻲَّ ﻋﻨﺎﺀ ﺍﻟﺸﺮﺡ."""
Ushiromiya Ange,"""No 19th person exists on this island. But this gimmick lets us mix in an unknown new person X despite that. ......Basically, ""the names of all 18 people"" just have to not match ""the 18 people on the island"".""","""No 19th person exists on this island. And yet this trick lets us mix in an unknown new character. ...In other words, ""the names of all 18 people"" don't necessarily correspond to ""the 18 people on the island""."" ","""No 19th person exists on this island.  And yet this trick lets us mix in an unknown new character.  ...In other words, the 'names of all 18 people' don't have to match 'the 18 people on the island'.""",「この島に１９人目は存在しない。にもかかわらず、未知の新人物Ｘが混じりうるカラクリ。……つまり、“１８名全員の名前”と“在島者１８人”が一致しなければいい。」,「この島に１９人目は存在しない。にもかかわらず、未知の新人物Ｘが交じりうるカラクリ。……つまり、“１８名全員の名前”と“在島者１８人”が一致しなければいい」,"""Никакого 19‐го человека на этом острове нет. И тем не менее, эта уловка позволяет привнести неизвестную личность. ...Другими словами, 'имена всех восемнадцати человек' не обязательно принадлежат 'восемнадцати людям на острове'.""","""Nenhuma 19ª pessoa existe nesta ilha. Mas esse artifício nos permite misturar uma nova pessoa X além delas. ......Basicamente, ""o nome de todas as 18 pessoas"" não é o mesmo que ""as 18 pessoas na ilha"".""",「这个岛上不存在第十九人。可尽管如此，却又混进了未知的新人物 X。……这也就是说，只需“全体十八人的名字”与“在岛者十八人”并不一致即可破解。」,「這個島上不存在第十九人。可儘管如此，卻又混進了未知的新人物 X。……這也就是說，只需“全體十八人的名字”與“在島者十八人”並不一致即可破解。」,"""Non esiste nessuna diciannovesima persona su quest'isola. Tuttavia questo trucco ci permette di aggiungere un nuovo personaggio sconosciuto. ... In altre parole, i ‘nomi di tutte e 18 le persone’ non devono corrispondere alle ‘18 persone sull'isola’.""","""No existe una 19.ª persona en esta isla. Y aun así este truco nos permite poner un nuevo personaje desconocido... En otras palabras, ‘los nombres de las 18 personas’ no tienen que concordar con ‘las 18 personas en la isla’.""","""ﻻ ﻳﻮﺟﺪ ﺷﺨﺺٌ ﺗﺎﺳﻊ ﻋﺸﺮ ﻋﻠﻰ ﻫﺬﻩ ﺍﻟﺠﺰﻳﺮﺓ. ﻭﻣﻊ ﺫﻟﻚ، ﻫﻨﺎﻙ ﺣﻴﻠﺔ ﺗﺠﻌﻠﻨﺎ ﻧُﺪﺧِﻞ ﺍﻟﺸﺨﺺ ﺍﻟﻤﺠﻬﻮﻝ ""X"". ......ﺑﺒﺴﺎﻃﺔ ' ﺃﺳﻤﺎﺀ ﺍﻟـ81 ﺍﻟﺬﻳﻦ ﺫﻛﺮﺗﻬﻢ ﺍﻟﺴﺎﺣﺮﺓ ﻻ ﺗﻌﻨﻲ ﺑﺎﻟﻀﺮﻭﺭﺓ ﺗﻄﺎﺑﻘﻬﺎ ﻣﻊ ﺍﻟـ81 ﺷﺨﺼًﺎ ﻋﻠﻰ ﺍﻟﺠﺰﻳﺮﺓ'."""
Ushiromiya Battler,"""Exactly...! In red, the witch mentioned the names of 18 people one after another, and announced whether they were alive or dead. And on top of that, she declared that the number of humans on the island doesn't exceed 18. ......There was a single illusion in there.""","""That's it...! The witch mentioned the names of 18 people one after another, and announced whether they were alive or dead. And on top of that, she announced that there were no humans other than the 18. ...There was a single illusion in there."" ","""That's it...!  The witch mentioned the names of 18 people one after another, and announced whether they were alive or dead.  And on top of that, she announced that there were no humans other than the 18.  ......There was a single illusion in there.""",「そういうことさ…！　魔女は赤で１８人の名前を次々に挙げ、生死を宣言した。さらにその上、島には１８人を超える人間はいないとも宣言したわけだ。……ここにはひとつの錯覚があった。」,「そういうことさ…！　魔女は赤で１８人の名前を次々に挙げ、生死を宣言した。さらにその上、島には１８人を超える人間はいないとも宣言したわけだ。……ここにはひとつの錯覚があった」,"""В точку!.. Ведьма упомянула 18 имен, одно за другим, и объявила, живы ли они или мертвы. Помимо этого, она объявила, что кроме восемнадцати людей на острове никого нет. ......Однако здесь присутствует одна иллюзия.""","""Exatamente...! Em vermelho, a bruxa mencionou os nomes de 18 pessoas, uma após a outra, e anunciou se estavam vivas ou mortas. E além disso, ela declarou que o número de humanos na ilha não excede 18. ......Há uma singela ilusão nisso.""",「正是如此…！魔女用红字一个接一个地列出了十八人的名字，宣言其生死。在这基础上，又宣言了“岛上不存在超出十八人的人类”。……这些话给人造成了一个错觉。」,「正是如此…！魔女用紅字一個接一個地列出了十八人的名字，宣言其生死。在這基礎上，又宣言了“島上不存在超出十八人的人類”。……這些話給人造成了一個錯覺。」,"""Esattamente...! La strega ha fatto i nomi di 18 persone una dopo l'altra, e ha annunciato se erano vive o morte. Soprattutto, ha annunciato che non c'erano altri umani a parte i 18. ... C'era un'unica illusione là.""","""¡Claro!... La bruja mencionó en rojo los nombres de las 18 personas una después de otra, y anunció si estaban vivos o muertos. Y también, anunció que el número de humanos en la isla no excede 18... Ahí solo había una única ilusión.""","""ﻫﺬﺍ ﻣﺎ ﺃﻗﺼﺪﻩ...! ﺫﻛﺮﺕ ﺍﻟﺴﺎﺣﺮﺓ ﺑﺎﻷﺣﻤﺮ ﺃﺳﻤﺎﺀ ﺍﻟﺜﻤﺎﻧﻴﺔ ﻋﺸﺮ ﺷﺨﺼًﺎ ﻭﺍﺣﺪًﺍ ﻭﺍﺣﺪًﺍ، ﻭﺃﻋﻠﻨﺖ ﻋﻦ ﺣﺎﻻﺗﻬﻢ ﺑﻴﻦ ﺍﻟﺤﻴﺎﺓ ﻭﺍﻟﻤﻮﺕ. ﻭﻋﻼﻭﺓً ﻋﻠﻰ ﺫﻟﻚ، ﺃﻋﻠﻨﺖ ﺃﻧﻪ ﻻ ﻳﻮﺟﺪ ﻋﻠﻰ ﺍﻟﺠﺰﻳﺮﺓ ﺳﻮﻯ ﺍﻟـ81.  ......ﻟﻜﻦ ﻛﺎﻧﺖ ﻫﻨﺎﻙ ﺧﺪﻋﺔ ﻓﻲ ﺫﻟﻚ."""
,It was never guaranteed that {i:the 18 names = the 18 people on the island}.,It was never guaranteed that {i:the 18 names = the 18 people on the island}. ,"It wasn't guaranteed that the 18 names of people = the 18 people on the island.",それは、{i:１８人分の名前＝在島者１８人}、とは保証されていないこと。,[=JP],"Нигде не гарантировано, что {i:18 имён = 18 людей на острове}.",Nunca foi garantido que {i:os 18 nomes = as 18 pessoas na ilha}.,那就是，{i:十八人的名字＝在岛者十八人}，这点并未受到保证。,那就是，{i:十八人的名字＝在島者十八人}，這點並未受到保證。,Non è stato garantito che i 18 nomi delle persone {p:0:＝} le 18 persone sull'isola.,No estaba garantizado que {i:los 18 nombres = las 18 personas en la isla}.,ﻟﻢ ﺗُﺆﻛﺪ ﻋﻠﻰ ﺃﻥّ {i:ﺍﻟﺜﻤﺎﻧﻴﺔ ﻋﺸﺮ ﺍﺳﻤًﺎ = ﺍﻟﺜﻤﺎﻧﻴﺔ ﻋﺸﺮ ﺷﺨﺼًﺎ ﻋﻠﻰ ﺍﻟﺠﺰﻳﺮﺓ}.
Ushiromiya Battler,"""When she named off all 18 people and announced who was alive and who was dead, she kept the name of the culprit X hidden, and instead mixed in someone who isn't on this island...!""","""When she named off all 18 people and announced who was alive and who was dead, she hid the name of culprit X, and instead mixed in someone who wasn't on this island...! ","""When she named off all 18 people and announced who was alive and who was dead, she hid the name of culprit X, and instead mixed in someone who wasn't on this island...!",「１８人の名前を全て挙げてその生死を宣言する時。犯人Ｘの名を伏せ、代わりにこの島にいない人間の名前を混ぜる…！,「１８人の名前を全て挙げてその生死を宣言する時。犯人Ｘの名を伏せ、代わりにこの島にいない人間の名前を交ぜる…！」,"""Когда она назвала по именам все 18 человек, и объявила, кто жив и кто мёртв, она скрыла имя преступника X, и вместо него примешала кого‐то, кого на острове не было!..""","""E quando ela nomeou todas as 18 pessoas e anunciou quem estava vivo ou morto, ela manteve o nome do culpado X escondido, e o misturou entre alguém que não estava na ilha...!""",「在列出全体十八人的名字，宣言他们的生死时。魔女隐去了犯人 X 的名字，混入了另一个并非在岛者的名字…！」,「在列出全體十八人的名字，宣言他們的生死時。魔女隱去了犯人 X 的名字，混入了另一個並非在島者的名字…！」,"""Quando ha nominato tutte le 18 persone e ha annunciato chi era vivo e chi morto, lei ha nascosto il nome del colpevole X, e ha messo in mezzo uno che invece non era sull'isola...!","""Cuando nombró a las 18 personas y anunció quién estaba vivo y quién muerto, escondió el nombre de la persona X, ¡y en su lugar lo mezcló con alguien que no estaba en esta isla!...""","""ﺣﻴﻨﻤﺎ ﺳﺮّﺩﺕ ﺃﺳﻤﺎﺀ ﺍﻟﺜﻤﺎﻧﻴﺔ ﻋﺸﺮ ﺷﺨﺼًﺎ، ﻭﺃﻛﺪّﺕ ﻣﻦ ﻛﺎﻥ ﻋﻠﻰ ﻗﻴﺪ ﺍﻟﺤﻴﺎﺓ ﻭﻣﻦ ﻣﺎﺕ، ﺃﺧﻔﺖ ﺍﺳﻢ ﺍﻟﺠﺎﻧﻲ 'X' ﺑﻴﻨﻬﻢ، ﻭﺍﺳﺘﺒﺪﻟﺘﻪ ﺑﺎﺳﻢ ﺷﺨﺺ ﻟﻢ ﻳﻜﻦ ﻣﻮﺟﻮﺩًﺍ ﻋﻠﻰ ﺍﻟﺠﺰﻳﺮﺓ...!"""
