Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Turkish (TR)
Shannon,"""...............Th‐.........that's.........umm...""","""......Th- That's... umm..."" ","""...............Th, .........that's......, ...umm...""",「……………そ、………それは……、…その…。」,「……………そ、………それは……、…その…」,"""...............Э............ это......... м‐м‐м...""","""...............Is‐.........Isso.........hmm...""",「……………这、………这个……，…那个…」,「……………這、………這個……，…那個…」,"""... Q... Quello... umm...""","""...Q-Questo è... ecco...""","""E‐Eso es... umm...""","""....ﺫ،.........ﺫﻟﻚ......،...ﺃﻣﻤﻢ...""","""...............B-.........Bu.........şey..."""
Ushiromiya Jessica,"""Okay, Battler... Then how do you explain Grandfather's disappearance from the locked room of his study...? Grandfather disappeared all of a sudden even though the door was sealed, remember...?""","""Then, Battler, ...how do you explain Grandfather's disappearance from the study when it was a closed room...? Even though the door was sealed, Grandfather just suddenly disappeared, right...?"" ","""Then, Battler... How do you explain Grandfather's disappearance from the closed room of his study...? Even though the door was sealed, Grandfather unexpectedly disappeared, right...?""",「じゃあ、戦人…。祖父さまが密室の書斎から消え去っていたのはどう説明するんだよ…。扉は封印されていたのに、祖父さまは忽然と消え去ってたぜ…？」,[=JP],"""Тогда, Баттлер... Как ты объяснишь исчезновение дедушки из его запертого кабинета?.. Несмотря на то, что двери были запечатаны, он неожиданно испарился, разве не так?""","""Certo, Battler... Como você explica o desaparecimento do vovô do estúdio trancado dele...? Ele desaparece de repente mesmo a porta estando selada, lembra...?""",「那么，战人…。爷爷从密室状态的书房消失又该怎么解释呢…？门明明被封印着，爷爷却忽然消失了嘞…？」,「那麼，戰人…。爺爺從密室狀態的書房消失又該怎麼解釋呢…？門明明被封印著，爺爺卻忽然消失了嘞…？」,"""Allora, Battler... Come spieghi la sparizione del Nonno dalla stanza chiusa del suo studio...? Nonostante la porta fosse sigillata, il Nonno è inaspettatamente sparito, giusto...?""","""Allora, Battler... Come spiegheresti la sparizione di nostro nonno dalla camera chiusa del suo studio...? Anche se la porta era sigillata, il nonno era sparito all'improvviso, giusto...?""","""Entonces, Battler... ¿Cómo explicas la desaparición del abuelo de la habitación cerrada de su estudio? El abuelo desapareció de repente a pesar de que la puerta estaba sellada, ¿no lo recuerdas?""","""ﺇﺫﻥ ﻳﺎ ﺑﺎﺗﻠﺮ... ﻛﻴﻒ ﺗﻔﺴﺮ ﺍﺧﺘﻔﺎﺀ ﺟﺪﻱ ﻣﻦ ﺩﺍﺧﻞ ﻏﺮﻓﺔ ﺩﺭﺍﺳﺘﻪ ﺍﻟﻤﻐﻠﻘﺔ؟ ﻋﻠﻰ ﺍﻟﺮﻏﻢ ﻣﻦ ﺃﻥ ﺍﻟﺒﺎﺏ ﻛﺎﻥ ﻣﻐﻠﻘﺎ، ﺇﻻ ﺃﻥ ﺟﺪﻱ ﺍﺧﺘﻔﻰ ﻣﻦ ﻭﺳﻄﻬﺎ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ...؟""","""O zaman, Battler... Büyükbabamın kilitli çalışma odasından kaybolmasını nasıl açıklıyorsun...? Büyükbaba kapı mühürlü olduğu halde aniden ortadan kayboldu, hatırladın mı...?"""
Ushiromiya Battler,"""We talked about that during the story, too. It's not impossible that Grandfather used some trick to fool the receipt. It's also possible that he went out the window, or fell out the window, and Aunt Natsuhi locked it from the inside. I could think of a bunch of tricks you could use without relying on magic...you see?""","""We talked about that during the story, too. It's not impossible that Grandfather used some trick to fool the receipt. It's also possible that he went out the window, fell down, and Aunt Natsuhi locked the window from the inside. I could think of a bunch of tricks you could use without relying on magic..."" ","""We talked about that during the story, too. It's not impossible that Grandfather used some trick to fool the receipt. It's also possible that he went out the window, fell down, and Natsuhi oba-san locked the window from the inside. I could think of a bunch of tricks you could use without relying on magic...you see?""",「その話は劇中でも出ただろ。祖父さまが何らかの方法を使えば、レシートを誤魔化すことは不可能じゃない。あるいは窓から出て、あるいは落ちて、夏妃伯母さんが窓を内側から施錠した可能性もある。別に、魔法を使わなくたって、他にもいくつか手は思いつくだろうぜ…？」,[=JP],"""Мы уже говорили на эту тему во время рассказа. Нельзя исключить, что дедушка прибегнул к какой‐то уловке, обходящей трюк с чеком. Также возможно, что он перелез через окно, спрыгнул вниз, а тётя Нацухи заперла окно изнутри. Я могу придумать достаточно способов, благодаря которым не надо будет прибегать к магии... как‐то так.""","""Nós conversamos sobre isso durante a história também. Não é impossível que ele tenha usado algum tipo de truque com o recibo. Também é possível que ele tenha saído pela janela, ou caído, e depois a tia Natsuhi a fechou. Eu poderia pensar em um monte de truques que não dependem de magia...viu?""",「这个话题在故事中也讨论过吧。爷爷只要使用某种手法，不是不可能混过收据这关。没准是从窗户出去的，也没准是掉了下去，然后夏妃伯母从内侧锁上了窗户。即使不用魔法，也可以想出好多别的方法吧…？」,「這個話題在故事中也討論過吧。爺爺只要使用某種手法，不是不可能混過收據這關。沒准是從窗戶出去的，也沒准是掉了下去，然後夏妃伯母從內側鎖上了窗戶。即使不用魔法，也可以想出好多別的方法吧…？」,"""Ne abbiamo anche parlato durante la storia. Non è impossibile che il Nonno abbia usato qualche trucchetto per ingannare lo stratagemma dello scontrino. {n}È anche possibile che se ne sia andato dalla finestra, sia sceso giù, e Natsuhi oba-san abbia chiuso la finestra dall'interno. Posso pensare ad un po' di trucchi che si potrebbero usare senza fare affidamento sulla magia... vedete?""","""Ne abbiamo parlato anche nel corso della storia. Non si può escludere che il nonno abbia adoperato qualche metodo per aggirare lo scontrino. È anche possibile che se ne sia andato dalla finestra, o che sia caduto da lì, e che zia Natsuhi abbia chiuso le finestre dall'interno. Posso farmi venire in mente diversi mezzi che si potrebbero usare senza fare ricorso alla magia, visto?""","""También hablamos de eso durante la historia. No es imposible que el abuelo haya utilizado algún truco para burlar el recibo. También es posible que haya salido por la ventana, o caído, y la tía Natsuhi lo haya cerrado desde dentro. Puedo pensar en varios trucos que uno puede usar sin depender de la magia, ¿no ven?""","""ﺗﻨﺎﻗﺸﻨﺎ ﺣﻴﺎﻝ ﺫﻟﻚ ﺧﻼﻝ ﺍﻟﻘﺼﺔ ﺃﻳﻀﺎ. ﻟﻴﺲ ﻣﻦ ﺍﻟﻤﺴﺘﺤﻴﻞ ﺃﻥ ﻳﺘﺤﺎﻳﻞ ﺟﺪﻱ ﺣﻮﻝ ﺍﻹﻳﺼﺎﻝ ﺑﻄﺮﻳﻘﺔ ﻣﺎ. ﺭﺑﻤﺎ ﺧﺮﺝ ﻣﻦ ﺍﻟﻨﺎﻓﺬﺓ، ﺃﻭ ﺭﺑﻤﺎ ﺩﻓﻌﺘﻪ ﻋﻤﺘﻲ ﻧﺎﺗﺴﻮﻫﻲ ﻓﻌﻼ ﻭﺃﻏﻠﻘﺖ ﺍﻟﻨﺎﻓﺬﺓ ﻣﻦ ﺍﻟﺪﺍﺧﻞ. ﻫﻨﺎﻙ ﺍﻟﻌﺪﻳﺪ ﻣﻦ ﺍﻟﻄﺮﻕ ﻟﺤﻞ ﻫﺬﺍ ﺍﻟﻠﻐﺰ ﺩﻭﻥ ﺍﻟﻠﺠﻮﺀ ﻟﻠﺴﺤﺮ، ﺃﺗﺮﻭﻥ؟""","""Hikaye sırasında bunu da konuşmuştuk. Büyükbabanın fişi atlatmak için bir numara yapmış olması imkansız değil. Pencereden atlamış ya da düşmüş ve Natsuhi Teyze de kapıyı içeriden kilitlemiş olabilir. Büyüye sırt dayamadan kullanabileceğin bir sürü numara düşünebilirim...anlıyor musun?"""
Ushiromiya Jessica,"""............Th‐......that makes sense, but.........""","""...Th- That makes sense, but..."" ","""............Th, ......that makes sense, but.........""",「…………そ、……それはそうだけどよ………。」,「…………そ、……それはそうだけどよ………」,"""............Т......... такое могло произойти, но.........""","""............Is‐......Isso faz sentido, mas.........""",「…………虽、……虽然是可以这么说………」,「…………雖、……雖然是可以這麼說………」,"""... Q... Questo ha senso, ma...""","""...H-Ha senso, ma...""","""E‐Eso tiene sentido, pero...""","""............ﻫﺬﺍ،......ﻫﺬﺍ ﻣﻨﻄﻘﻲ، ﻭﻟﻜﻦ.........""","""............Bu-......Bu mantıklı ama........."""
Ushiromiya George,"""In that case, Battler‐kun, how do you explain the way my parents were killed in the guest room? The door was sealed by the lock and the chain. Naturally, the windows were sealed too. How would you suggest a human could have killed my parents?""","""In that case, Battler-kun, how do you explain the way my parents were killed in the guest room? The door was sealed by the lock and the chain. Naturally, the window was sealed too. How do you think a human could've killed my parents?"" ","""In that case, Battler-kun, how do you explain the way my parents were killed in the guest room? The door was sealed by the lock and the chain. Naturally, the window was sealed too. How would you suggest a human could have killed my parents?""",「なら戦人くん。僕のお母さんたちが客室の中で殺されていたのはどう説明するんだい？　扉には鍵もチェーンも掛かってた。無論、窓もね。どうやって人間に、母さんたちを殺せたって言うんだい？」,「なら戦人くん。僕の母さんたちが客室の中で殺されていたのはどう説明するんだい？　扉には鍵もチェーンも掛かってた。無論、窓もね。どうやって人間に、母さんたちを殺せたって言うんだい？」,"""В таком случае, Баттлер‐кун, как ты объяснишь, каким образом были убиты мои родители в комнате для гостей? Дверь была заперта на замок и цепочку. Окна, конечно же, тоже были заперты. Как, по‐твоему, человек мог убить моих родителей?""","""Nesse caso, Battler‐kun, como você explica como os meus pais foram mortos no quarto de hóspedes? A porta estava chaveada e com uma corrente. Naturalmente, as janelas também estavam fechadas. Como você poderia sugerir que foi um humano que matou os meus pais?""",「那么战人君。该怎么解释我的父母在客房里遇害的一案呢？门是锁好的，还上了链条锁。当然，窗户也锁着。你说要怎么做，人类才能杀死我的父母呢？」,「那麼戰人君。該怎麼解釋我的父母在客房裡遇害的一案呢？門是鎖好的，還上了鏈條鎖。當然，窗戶也鎖著。你說要怎麼做，人類才能殺死我的父母呢？」,"""In questo caso, Battler-kun, come spieghi il modo in cui i miei genitori sono stati uccisi nella stanza degli ospiti? La porta era chiusa dalla serratura e dalla catena. Naturalmente, anche la finestra era chiusa. In quale modo dici che un umano avrebbe potuto uccidere i miei genitori?""","""In tal caso, Battler-kun, come spieghi il modo in cui i miei genitori sono stati uccisi nella camera per gli ospiti? La porta era chiusa dalla serratura e dalla catenella. Naturalmente, anche le finestre erano chiuse. In che modo pensi che un umano avrebbe potuto uccidere i miei genitori?""","""En ese caso, Battler‐kun, ¿cómo explicas la manera en la que mis padres fueron asesinados en la habitación de huéspedes? La puerta fue sellada por la cerradura y la cadena. Naturalmente, las ventanas también estaban selladas. ¿Cómo sugerirías que un humano podría haber matado a mis padres?""","""ﻓﻲ ﻫﺬﻩ ﺍﻟﺤﺎﻟﺔ ﻳﺎ ﺑﺎﺗﻠﺮ-ﻛﻦ، ﻛﻴﻒ ﺗﻔﺴﺮ ﺍﻟﻄﺮﻳﻘﺔ ﺍﻟﺘﻲ ﻗﺘﻞ ﺑﻬﺎ ﻭﺍﻟﺪﻱ ﻓﻲ ﻏﺮﻓﺔ ﺍﻟﻀﻴﻮﻑ؟ ﻓﻘﺪ ﻛﺎﻥ ﺍﻟﺒﺎﺏ ﻣﻐﻠﻘﺎ ﺑﺎﻟﻘﻔﻞ ﻭﺍﻟﺴﻠﺴﺔ. ﻭﺣﺘﻰ ﺍﻟﻨﺎﻓﺬﺓ ﻛﺎﻧﺖ ﻣﻐﻠﻘﺔ ﺃﻳﻀﺎ. ﻛﻴﻒ ﺗﺮﻯ ﺃﻥ ﻫﺬﻩ ﺍﻟﺠﺮﻳﻤﺔ ﻣﻦ ﻓﻌﻞ ﺍﻹﻧﺴﺎﻥ؟""","""Bu durumda, Battler-kun, annemle babamın misafir odasında öldürülmesini nasıl açıklıyorsun? Kapı kilit ve zincirle mühürlenmişti. Tabii ki, pencereler de. Bir insanın ailemi öldürmüş olabileceğini nasıl açıklarsın?"""
Ushiromiya Battler,"""...Well, ......you're right, we did have to leave that trick alone during the story. Anyways, there's a good chance that the culprit had the key at least. And it was possible to look in through the crack of the door that the chain allowed.""","""...Well, ...we did have to leave that trick alone during the story. Anyway, there's at least a good chance the culprit had a key. And it was possible to look in through the crack of the door that the chain allowed. ","""...Well, ......we did have to leave that trick alone during the story. Anyways, there's at least a good chance that the culprit had the key. And it was possible to look in through the crack of the door that the chain allowed. ",「…まぁ、……確かにそのトリックは劇中でも保留になったままだったな。とにかく、犯人は鍵だけは持ってる可能性が高いからな。チェーンに許される程度の、扉の隙間は確保できたわけだ。,「…まぁ、……確かにそのトリックは劇中でも保留になったままだったな。とにかく、犯人は鍵だけは持ってる可能性が高いからな。チェーンに許される程度の、扉の隙間は確保できたわけだ」,"""...Ну......... ты прав, тогда нам пришлось отложить разбор этой уловки. Но как бы там ни было, велика вероятность, что в распоряжении преступника был ключ. К тому же имелась возможность заглянуть в образованную дверью и дверным косяком щель, насколько это позволяла цепочка.""","""...Bem, ......você está certo, nós vamos ter que deixar esse truque de lado nessa história. Mesmo assim, tem um boa chance de que o culpado tivesse ao menos uma chave. E a corrente permitia que se olhasse através de uma fresta na porta.""",「…这个嘛，……确实这个诡计在故事中是没被解开。但总之，犯人拥有钥匙的可能性很大。所以他能在链条锁的容许范围内，保证让门打开一条缝隙。」,「…這個嘛，……確實這個詭計在故事中是沒被解開。但總之，犯人擁有鑰匙的可能性很大。所以他能在鏈條鎖的容許範圍內，保證讓門打開一條縫隙。」,"""... Beh... avevamo dovuto lasciare da parte quel trucco durante la storia. Ad ogni modo, c'è una buona possibilità che il colpevole avesse la chiave. Ed era possibile guardare attraverso la fessura della porta permessa dalla catena.","""...Beh... in effetti durante la storia abbiamo messo quel trucco da parte. Ad ogni modo, è molto probabile che il colpevole avesse la chiave. E questo garantiva uno spiraglio della porta, nella misura consentita dalla catenella...""","""Bueno... Cierto, tuvimos que dejar ese truco de lado durante la historia. De cualquier manera, hay una gran probabilidad de que el culpable tuviese la llave al menos. Y era posible mirar a través del espacio que la cadena de la puerta dejaba abrir.""","""...ﺣﺴﻨﺎ، ......ﻟﻢ ﻧﻔﻜﺮ ﻓﻲ ﻫﺬﻩ ﺍﻟﺤﻴﻠﺔ ﺧﻼﻝ ﺍﻟﻘﺼﺔ. ﺑﺄﻱ ﺣﺎﻝ، ﻫﻨﺎﻙ ﻓﺮﺻﺔ ﺟﻴﺪﺓ ﺑﺄﻥ ﺍﻟﻤﻔﺎﺗﻴﺢ ﻛﺎﻧﺖ ﺑﺤﻮﺯﺓ ﺍﻟﻤﺠﺮﻡ. ﻭﺑﻬﺬﺍ ﻓﺘﺢ ﺍﻟﺒﺎﺏ ﻭﺍﺳﺘﺨﺪﻡ ﺍﻟﻔﺠﻮﺓ ﺍﻟﺘﻲ ﺗﺴﻤﺢ ﺑﻬﺎ ﺍﻟﺴﻠﺴﻠﺔ.","""...Şey, ......haklısın, hikaye boyunca bu numarayı geride bırakmak zorunda kaldık. Her neyse, suçlunun en azından anahtara sahip olma ihtimali yüksek. Ve zincirin izin verdiği kapı aralığından içeri bakmak mümkündü."""
Ushiromiya Battler,"""......This is extremely far‐fetched, but it is possible that some device was used through that crack. ...Or maybe they brought something out through the crack...?""","...I know this is a stretch, but it's possible some device was used through that crack. ...Like maybe they stuck something through it...?"" ","......It's really painful to talk about it, but it is possible that some device was used through that crack. ...Like maybe they stuck something through the crack...?",……非常に苦しい話だが、その隙間から何かの仕掛けを施した可能性はありえるな。…いや、あるいは、その隙間から、何かを出したとか…？,「……非常に苦しい話だが、その隙間から何かの仕掛けを施した可能性はありえるな。…いや、あるいは、その隙間から、何かを出したとか…？」,"""......Это больная тема, но возможно, через эту щель было использовано какое‐то устройство. ...Или может, они просунули что‐нибудь в щель?..""","""......É uma ideia bem extravagante, mas é possível que algum tipo de dispositivo tivesse sido usado através da fresta. ...Ou talvez eles tenham atirado alguma coisa de lá através da fresta...?""",「……虽然这么说是很牵强，但通过缝隙使用什么机关也是有可能的啊。…不，或者说是，通过缝隙取出了什么东西吗…？」,「……雖然這麼說是很牽強，但通過縫隙使用什麼機關也是有可能的啊。…不，或者說是，通過縫隙取出了什麼東西嗎…？」,"... È davvero doloroso da dire, ma è possibile che un qualche strumento sia stato usato attraverso quella fessura. ... Forse hanno infilato qualcosa attraverso la fessura...?","""Dirlo mi addolora, ma è possibile che, attraverso quello spiraglio, sia stato adoperato uno strumento... Anzi, forse vi hanno infilato qualcosa...?""","""Esto sonará algo descabellado, pero es posible que se haya usado algún aparato por ese espacio. ¿O tal vez sacaron algo a través de este?""",ﻣﻦ ﺍﻟﻤﺆﻟﻢ ﺣﻘﺎ ﺍﻟﺘﺤﺪﺙ ﻋﻦ ﺫﻟﻚ، ﻟﻜﻦ ﻣﻦ ﺍﻟﻤﻤﻜﻦ ﺃﻧﻪ ﻧﺼﺐ ﻓﺨﺎ ﺃﻭ ﺃﻃﻠﻖ ﺷﻴﺌﺎ ﻋﺒﺮ ﺍﻟﻔﺠﻮﺓ ﺃﻭ ﻣﺎ ﺷﺎﺑﻪ. ....ﺃﻭ ﻣﻦ ﺍﻟﻤﻤﻜﻦ ﺃﻧﻬﻢ ﺃﺧﺮﺟﻮﺍ ﺷﻴﺌﺎ ﻣﻦ ﺧﻼﻝ ﺍﻟﻔﺘﺤﺔ...؟,"""......Bu son derece uzak bir ihtimal, ancak o aralıktan bir cihazın kullanılmış olması mümkün. ...Ya da belki de aralıktan bir şey sokmuşlardır...?"""
Ushiromiya Battler,"""......Hmmmm, well, even though chains are incredibly simple, they're a big factor in constructing a locked room... .........But authors have done almost every possible locked‐room trick there is to do by now. If you bought just a few locked‐room mysteries from some bookstore or other, you could probably find some trick that would fit perfectly.""","""...Hmmmm, well, even though a door chain is incredibly simple, it's a big factor in setting up a closed room... ...Still, there's probably some closed room trick they could've used. If you bought some closed room mystery novels from the bookstore, you could probably find some trick that'd fit perfectly. ","......Hmmmm, well, even though the chain is incredibly simple, it's a big factor in setting up the closed room... .........However, there's probably some closed room trick they could have used. If you bought some closed room mystery novels from the bookstore, you could probably find some trick that would fit perfectly. ",……んんん、確かにチェーンってのは、偉いシンプルだが、密室を構成するでかい要素だな…。………だが、密室トリックなんておよそやり尽くされてるんだ。そこいらの書店で密室ミステリーを数冊買ってくりゃ、どうせビンゴなトリックが見付かるだろうぜ。,「……んんん、確かにチェーンってのは、偉いシンプルだが、密室を構成するでかい要素だな…。………だが、密室トリックなんておよそやり尽くされてるんだ。そこいらの書店で密室ミステリーを数冊買ってくりゃ、どうせビンゴなトリックが見付かるだろうぜ」,"""......Хм‐м, ну, хоть цепочка и крайне проста, это важный элемент для создания закрытой комнаты... .........Однако в наши дни писатели уже использовали столько трюков с запертой комнатой. Если ты купишь пару детективов с закрытыми комнатами в книжном магазине, то наверняка найдёшь прекрасно подходящий способ.""","""......Hmmmm, bem, mesmo as correntes sendo incrivelmente simples, elas são um grande fator na criação de um quarto fechado... .........Mas os autores já fizeram quase todos os tipos possíveis de quartos fechados até hoje. Se você pegar alguns livros de mistérios com quartos fechados de alguma livraria, você provavelmente vai encontrar algum truque que se encaixa perfeitamente.""",「……唔嗯，链条锁虽然单纯至极，但确实是构成密室的巨大要素呢…。………但是，密室诡计这类东西基本都被前人穷尽了。只要去哪个书店买几本密室推理小说，肯定能找到对上号的诡计吧。」,「……唔嗯，鏈條鎖雖然單純至極，但確實是構成密室的巨大要素呢…。………但是，密室詭計這類東西基本都被前人窮盡了。只要去哪個書店買幾本密室推理小說，肯定能找到對上號的詭計吧。」,"... Mmmmh, beh, nonostante la catena sia terribilmente semplice, la questione più complicata è creare la stanza chiusa... tuttavia, c'è probabilmente qualche trucchetto che può essere usato per crearla. Se comprate qualche giallo con stanze chiuse in una libreria, probabilmente trovereste qualche trucco che si adatta perfettamente.","""Nnngh, la catenella è un oggetto molto basilare, ma è una componente importante nella creazione di una camera chiusa... Tuttavia, sono stati usati numerosissimi trucchi che involvono camere chiuse. Comprate in un negozio di libri qualche storia gialla con delle camere chiuse, e troverete un metodo che combacerà alla perfezione...""","""Mmmmm, bueno, aunque las cadenas son increíblemente simples, son un gran factor al construir una habitación cerrada... Pero a estas alturas, los autores han usado casi todos los trucos de habitación cerrada posibles que se pueden usar. Si compraras algunos misterios de habitación cerrada de alguna que otra librería, probablemente encuentres algún truco que encajaría a la perfección.""","...........ﺣﺴﻨﺎ، ﺣﺴﻨﺎ، ﻋﻠﻰ ﺍﻟﺮﻏﻢ ﻣﻦ ﺃﻥ ﺍﻟﺴﻠﺴﻠﺔ ﻗﻔﻞ ﺑﺴﻴﻂ ﻭﻏﻴﺮ ﻣﻌﻘﻮﻝ، ﺇﻻ ﺃﻧﻬﺎ ﻋﺎﻣﻞ ﻣﺆﺛﺮ ﻓﻲ ﺇﻧﺸﺎﺀ ﻏﺮﻓﺔ ﻣﻐﻠﻘﺔ... ...ﻭﻟﻜﻦ ﻛﺘﺐ ﺍﻟﻤﺆﻟﻔﻮﻥ ﺗﻘﺮﻳﺒﺎ ﺟﻤﻴﻊ ﺧﺪﻉ ﺍﻟﻐﺮﻑ ﺍﻟﻤﻐﻠﻘﺔ. ﻓﻠﻮ ﺟﻤﻌﻨﺎ ﺑﻌﺾ ﺃﻟﻐﺎﺯ ﺍﻟﻐﺮﻑ ﺍﻟﻤﻐﻠﻘﺔ ﻣﻦ ﺃﻱ ﻣﻜﺘﺒﺔ، ﺳﺘﺴﺘﻄﻴﻊ ﺃﻥ ﺗﺠﺪ ﺧﺪﻋﺔ ﺗﻄﺎﺑﻖ ﻫﺬﻩ ﺍﻟﺤﺎﻟﺔ.""","""......Hmmmm, zincirler inanılmaz derecede basit olsalar da, kilitli bir oda inşa etmede büyük bir faktör... .........Ama yazarlar şimdiye kadar yapılabilecek neredeyse tüm kilitli oda numaralarını kullandılar. Bir kitapçıdan ya da başka bir yerden birkaç kilitli oda gizemi satın alsaydın, muhtemelen mükemmel bir şekilde uyacak bir numara bulabilirdin."""
Ushiromiya Battler,"""......Anyways, I can't think of one now...but I can state for certain that a human could manage it somehow if they tried hard enough.""","...Anyway, I can't think of one now, ...but I claim that there's nothing humans can't do if they try hard enough."" ","......Anyways, I can't think of one now...but I claim that there's nothing humans can't do if they try hard enough.""",……とにかく、俺には思いつかねぇが、どうにかやりくりすりゃあ、人間にできないことはないだろうって断言できる。」,「……とにかく、俺には思いつかねぇが、どうにかやりくりすりゃあ、人間にできないことはないだろうって断言できる」,"""......В любом случае, я не могу сейчас ничего придумать... но я утверждаю, что нет ничего, что бы не смогли сделать люди, если они хорошенько постараются.""","""......De qualquer forma, eu não consigo pensar em um agora...mas eu posso afirmar com certeza que um ser humano poderia lidar com isso de alguma forma.""",「……总之，虽然我想不出来，但我可以断言，只要想尽办法去筹备，应该就没有人类做不到的事。」,「……總之，雖然我想不出來，但我可以斷言，只要想盡辦法去籌備，應該就沒有人類做不到的事。」,"... Ad ogni modo, non riesco a pensarne uno, ma affermo che, se ci si prova abbastanza, non c'è niente che un umano non possa fare.""","""Comunque sia, non mi viene in mente niente, ma posso assicurarvi che in un modo o nell'altro, non c'è nulla che un umano non possa fare.""","""De cualquier forma, no puedo pensar en uno ahora mismo, pero puedo decir con seguridad que un humano lo podría lograr de alguna manera si lo intenta lo suficiente.""","......ﻻ ﻓﻜﺮﺓ ﻟﺪﻱ ﻋﻦ ﺍﻟﻜﻴﻔﻴﺔ ﺍﻟﻤﺴﺘﺨﺪﻣﺔ ﺍﻵﻥ، ﻭﻟﻜﻨﻲ ﻣﺘﻴﻘﻦ ﻣﻦ ﺃﻥ ﺍﻟﺒﺸﺮ ﻳﺴﺘﻄﻴﻌﻮﻥ ﻓﻌﻞ ﺃﻱ ﺷﻲﺀ ﺇﺫﺍ ﺣﺎﻭﻟﻮﺍ ﺑﺠﺪ.""","""......Her neyse, şu anda aklıma bir tane bile gelmiyor...ama bir insanın yeterince uğraşırsa bunu bir şekilde başarabileceğinden eminim."""
Ushiromiya George,"""Isn't that argument horribly irrational...? It's just ridiculous to claim that it's possible for a human to do something, even though you can't explain how...""","""Isn't that argument horribly irrational...? It's just ridiculous to claim that it's possible for a human to do something, even though you can't explain how..."" ","""Isn't that argument horribly irrational...? It's just ridiculous to claim that it's possible for a human to do something, even though you can't explain how...""",「それは酷い暴論じゃないかい…？　説明できないのに、人間に可能だと断言できるなんて、めちゃめちゃだよ…。」,「それは酷い暴論じゃないかい…？　説明できないのに、人間に可能だと断言できるなんて、めちゃめちゃだよ…」,"""Разве этот довод не абсурден?..... Нелепо утверждать, будто для человека возможно сделать нечто, даже если ты не можешь объяснить как...""","""Esse argumento não é completamente irracional...? Você não consegue dar uma explicação, não é possível que um humano tenha feito tal coisa, isso é ridículo...""",「这不是强盗逻辑吗…？明明无法解释，却断言人类可以做到，乱说一通啊…」,「這不是強盜邏輯嗎…？明明無法解釋，卻斷言人類可以做到，亂說一通啊…」,"""Non è questo un ragionamento terribilmente irrazionale...? È semplicemente ridicolo affermare che è possibile per un umano fare qualcosa, nonostante non lo si possa spiegare...""","""Non è un modo di ragionare tremendamente irrazionale...? È insensato affermare che un umano possa fare qualcosa, nonostante non si riesca a spiegare come...""","""¿No es ese argumento terriblemente irracional? Es simplemente ridículo reclamar que es posible que un humano pueda hacer algo, aunque no lo puedas explicar.""","""ﺃﻟﻴﺴﺖ ﺣﺠﺘﻚ ﻏﻴﺮ ﻣﻨﻄﻘﻴﺔ...؟ ﻣﻦ ﺍﻟﺴﺬﺍﺟﺔ ﺃﻥ ﺗﺪﻋﻲ ﺗﻤﻜﻦ ﺍﻹﻧﺴﺎﻥ ﻷﻥ ﻳﻔﻌﻞ ﺷﻴﺌﺎ ﻛﻬﺬﺍ، ﺭﻏﻢ ﻋﺪﻡ ﻗﺪﺭﺗﻚ ﻋﻠﻰ ﺗﻔﺴﻴﺮﻩ...""","""Bu argüman korkunç derecede mantıksız değil mi...? Nasıl olduğunu açıklayamadığın halde bir insanın bir şeyi yapmasının mümkün olduğunu iddia etmek çok saçma..."""
