Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,"For the first six volumes, it went almost entirely unnoticed, but last year, when foreign translations of the series began, it got its big break and suddenly became a huge topic of conversation.","For the first six volumes, it went almost entirely unnoticed, but last year, when foreign translations of the series began, it got its big break and suddenly became a huge topic of conversation. "," For the first six volumes, it went almost entirely unnoticed, but last year, when foreign translations of the series began, it got its big break and suddenly became a huge topic of conversation.",６巻頃まではそれほどの話題にならなかったが、昨年、海外翻訳が始まると大ブレイクし、一気に話題の作品となったのである。,６巻頃まではそれほどの話題にならなかったが、昨年、海外翻訳が始まると大ブレイクし、一気に話題の作品となったのである。,"Первые шесть томов прошли почти полностью незамеченными, однако в последний год, когда начались иностранные переводы серии, он прорвался вперёд и неожиданно стал огромной темой для обсуждения.","Durante os seis primeiros volumes, a obra passou praticamente despercebida, mas no último ano, quando uma tradução estrangeira da série teve início, ela se popularizou e se tornou uma grande pauta entre os assuntos mais comentados.",直到 6 卷时还并没有引起那么大的话题，但去年以海外翻译的开始为契机，它一举成为了话题中的作品。,直到 6 卷時還並沒有引起那麼大的話題，但去年以海外翻譯的開始為契機，它一舉成為了話題中的作品。,"Per i primi sei volumi, passò quasi completamente inosservato, ma l'ultimo anno, quando iniziarono le traduzioni straniere della serie, ebbe la sua grande occasione e improvvisamente divenne un grande argomento di conversazione.","For the first six volumes, it went almost entirely unnoticed, but last year, when foreign translations of the series began, it got its big break and suddenly became a huge topic of conversation.","En los primeros seis volúmenes, era casi desconocido, pero el año pasado, cuando comenzaron las traducciones a otros idiomas, consiguió su gran oportunidad y de repente se volvió un enorme tema de conversación.","For the first six volumes, it went almost entirely unnoticed, but last year, when foreign translations of the series began, it got its big break and suddenly became a huge topic of conversation.","For the first six volumes, it went almost entirely unnoticed, but last year, when foreign translations of the series began, it got its big break and suddenly became a huge topic of conversation.","For the first six volumes, it went almost entirely unnoticed, but last year, when foreign translations of the series began, it got its big break and suddenly became a huge topic of conversation.","For the first six volumes, it went almost entirely unnoticed, but last year, when foreign translations of the series began, it got its big break and suddenly became a huge topic of conversation."
,"Even before this series, the author had created quite a lot of works, but none of those had achieved any public acclaim.","Even before this series, the author had created quite a lot of works, but none of those achieved any public acclaim. "," Even before this series, the author had created quite a lot of works, but none of those had achieved any public acclaim.",このシリーズ以前にも、ずいぶんとたくさんの作品を描いていたが、それらは当時、まったく評価されなかった。,このシリーズ以前にも、ずいぶんとたくさんの作品を描いていたが、それらは当時、まったく評価されなかった。,"Ещё до этой серии автор написала довольно много работ, но ни одна из них не добилась общественного признания.","Antes mesmo dessa série, a autora já havia escrito vários outros trabalhos, mas nenhum deles alcançou a aclamação do público.",在这个系列之前，也写过很多的作品，但在当时，那些都完全没得到过好评。,在這個系列之前，也寫過很多的作品，但在當時，那些都完全沒得到過好評。,"Anche prima di questa serie, l'autrice aveva creato parecchi lavori, ma nessuno di questi aveva ottenuto il favore del pubblico.","Even before this series, the author had created quite a lot of works, but none of those had achieved any public acclaim.","Incluso antes de estas historias, la autora había creado muchos trabajos, pero ninguno de estos había conseguido el reconocimiento del público.","Even before this series, the author had created quite a lot of works, but none of those had achieved any public acclaim.","Even before this series, the author had created quite a lot of works, but none of those had achieved any public acclaim.","Even before this series, the author had created quite a lot of works, but none of those had achieved any public acclaim.","Even before this series, the author had created quite a lot of works, but none of those had achieved any public acclaim."
,"However, after this sudden rise in notoriety, her previous works were being reevaluated one after another.","However, after this sudden rise in notoriety, her previous works were being reevaluated one after another. "," However, after this sudden rise in notoriety, her previous works were being reevaluated one after another.",しかし、今回の大ブレイクにより、過去の作品も次々に再評価されている。,しかし、今回の大ブレイクにより、過去の作品も次々に再評価されている。,Однако после неожиданного взлёта известности её предыдущие работы были одна за другой переоценены.,"Contudo, após um grande aumento de notoriedade, suas obras anteriores começaram a serem reavaliadas uma após a outra.",不过，通过这次的大进展，过去的作品们也陆续得到了再度好评。,不過，通過這次的大進展，過去的作品們也陸續得到了再度好評。,"Tuttavia, dopo questo improvviso aumento di popolarità, i suoi precedenti lavori stavano venendo rivalutati uno dopo l'altro.","However, after this sudden rise in notoriety, her previous works were being reevaluated one after another.","Sin embargo, después de esta repentina y notoria ascensión, sus trabajos anteriores fueron siendo revaluados uno tras otro.","However, after this sudden rise in notoriety, her previous works were being reevaluated one after another.","However, after this sudden rise in notoriety, her previous works were being reevaluated one after another.","However, after this sudden rise in notoriety, her previous works were being reevaluated one after another.","However, after this sudden rise in notoriety, her previous works were being reevaluated one after another."
,It's probably fair to say that recognition of her works was very late in coming.,"In that sense, it's probably fair to call her an author who went unrecognized for quite a long time. "," It's probably fair to say that recognition of her works was very late in coming.",その意味では、作者は非常に遅咲で評価されたと言えるだろう。,その意味では、作者は非常に遅咲で評価されたと言えるだろう。,"Вероятно, справедливо сказать, что её работы получили признание с большим опозданием.",Certamente é justo dizer que o reconhecimento de suas obras foi bem tardio.,在这个意义上，作者也可以说是大器晚成吧。,在這個意義上，作者也可以說是大器晚成吧。,Si poteva probabilmente dire che il riconoscimento delle sue opere stava arrivando molto in ritardo.,It's probably fair to say that recognition of her works was very late in coming.,Probablemente sea justo decir que el reconocimiento de sus trabajos llegó muy tarde.,It's probably fair to say that recognition of her works was very late in coming.,It's probably fair to say that recognition of her works was very late in coming.,It's probably fair to say that recognition of her works was very late in coming.,It's probably fair to say that recognition of her works was very late in coming.
,"""Miss Kotobuki...!! Congratulations on your award!""","""Miss Kotobuki...!! Congratulations on your award!"" ","""Miss Kotobuki...!! Congratulations on your award!""",「寿先生…！！　受賞、おめでとうございます！」,「寿先生…！！　受賞、おめでとうございます！」,"""Мисс Котобуки!.. Поздравляю с награждением!""","""Kotobuki‐sensei...!! Parabéns pelo seu prêmio!""",「寿老师…！！恭喜您获奖！」,「壽老師…！！恭喜您獲獎！」,"""Miss Kotobuki...!! Congratulazioni per il vostro premio!""","""Miss Kotobuki...!! Congratulations on your award!""","""¡¡Señorita Kotobuki!!... ¡Felicidades por haber ganado este premio!""","""Miss Kotobuki...!! Congratulations on your award!""","""Miss Kotobuki...!! Congratulations on your award!""","""Miss Kotobuki...!! Congratulations on your award!""","""Miss Kotobuki...!! Congratulations on your award!"""
,"""Your latest, ""Sakutarou and the Witch's Island"", was truly an excellent read!""","""Your latest, ""Sakutarou goes to the Witch's Island"", was truly an excellent read!"" ","""Your latest, 'Sakutarou and the Witch's Island', was truly an excellent read!""",「今回の『さくたろう、魔女の島へ』も実に素晴らしい作品でした！」,「今回の『さくたろう、魔女の島へ』も実に素晴らしい作品でした！」,"""Ваша последняя книга, «Сакутаро и остров ведьмы», была потрясающей!""","""Seu último trabalho, ""Sakutarou e a Ilha das Bruxas"" foi uma excelente leitura!""",「这次的『樱太郎，前往魔女之岛』也实在是非常棒的作品！」,「這次的『櫻太郎，前往魔女之島』也實在是非常棒的作品！」,"""La vostra ultima opera, ‘Sakutarou e l'Isola della Strega’, è stata davvero una lettura eccellente!""","""Your latest, ""Sakutarou and the Witch's Island"", was truly an excellent read!""","""¡Su última obra, ""Sakutaro y la Bruja de la Isla"", fue una lectura realmente excelente!""","""Your latest, ""Sakutarou and the Witch's Island"", was truly an excellent read!""","""Your latest, ""Sakutarou and the Witch's Island"", was truly an excellent read!""","""Your latest, ""Sakutarou and the Witch's Island"", was truly an excellent read!""","""Your latest, ""Sakutarou and the Witch's Island"", was truly an excellent read!"""
,Publishing company executives repeatedly showered her with praise.,Publishing company executives repeatedly showered her with praise. ,"Publishing company executives repeatedly showered her with praise.",出版社の幹部たちが次々に祝福の言葉を掛ける。,出版社の幹部たちが次々に祝福の言葉を掛ける。,Руководители издательской компании неоднократно осыпали её похвалой.,Executivos de editoras a encheram de elogios repetidamente.,出版社的干部们也个个都予以祝福的话。,出版社的幹部們也個個都予以祝福的話。,Gli amministratori delle agenzie di pubblicazione ripetutamente la inondavano di lodi.,Publishing company executives repeatedly showered her with praise.,Los ejecutivos de las editoriales la colmaban de alabanzas.,Publishing company executives repeatedly showered her with praise.,Publishing company executives repeatedly showered her with praise.,Publishing company executives repeatedly showered her with praise.,Publishing company executives repeatedly showered her with praise.
,"""Sakutarou's Great Adventure"".{n}The author's name...was Kotobuki Yukari ({p:0:寿ゆかり}).","""Sakutarou's Great Adventure"". The author's name...was Kotobuki Yukari ({p:0:寿ゆかり}). ","'Sakutarou's Great Adventure'. The author's name...was Kotobuki Yukari.",「さくたろうの大冒険」。作者の名は、寿ゆかり。,「さくたろうの大冒険」。{n}作者の名は、寿ゆかり。,«Великое приключение Сакутаро».{n}Имя автора... Котобуки Юкари ({p:0:寿ゆかり}).,"""A Grande Aventura do Sakutarou"".{n}O nome da autora...era Kotobuki Yukari ({p:0:寿ゆかり}).",「樱太郎的大冒险」。{n}作者的名字是，寿由香里。,「櫻太郎的大冒險」。{n}作者的名字是，壽由香裡。,‘la Grande Avventura di Sakutarou’. Il nome dell'autrice... era Kotobuki Yukari.,"""Sakutarou's Great Adventure"".{n}The author's name...was Kotobuki Yukari ({p:0:寿ゆかり}).","""La Gran Aventura de Sakutaro"".{n}El nombre de la autora... era Kotobuki Yukari. ({p:0:寿ゆかり}).","""Sakutarou's Great Adventure"".{n}The author's name...was Kotobuki Yukari ({p:0:寿ゆかり}).","""Sakutarou's Great Adventure"".{n}The author's name...was Kotobuki Yukari ({p:0:寿ゆかり}).","""Sakutarou's Great Adventure"".{n}The author's name...was Kotobuki Yukari ({p:0:寿ゆかり}).","""Sakutarou's Great Adventure"".{n}The author's name...was Kotobuki Yukari ({p:0:寿ゆかり})."
,"Nearly all of her royalties were sent to a fund to support needy children, and she herself served as the director at several protective institutions.","Nearly all of her royalties were sent to a fund to support needy children, and she herself had served as the director at several protective institutions. "," Nearly all of her royalties were sent to a fund to support needy children, and she herself had served as the director at several protective institutions.",印税のほとんどを恵まれない子供たちを支援するための基金とし、自身もいくつかの擁護施設で理事長を務めている。,印税のほとんどを恵まれない子供たちを支援するための基金とし、自身もいくつかの養護施設で理事長を務めている。,"Почти все её гонорары направлялись в фонд поддержки нуждающихся детей, а сама она служила директором в нескольких защитных учреждениях.","Praticamente todos os seus royalties eram enviados para um fundo que apoiava crianças necessitadas, e ela mesmo já havia atuado como diretora de diversas instituições de proteção.",她的版税几乎全都拿去当作支援家境困苦的孩子们的基金，自己也担任着数个援助机构的董事长。,她的版稅幾乎全都拿去當作支援家境困苦的孩子們的基金，自己也擔任著數個援助機構的董事長。,"Quasi tutti i guadagni dei suoi diritti d'autore venivano mandati ad un fondo per supportare i bambini bisognosi, e lei stessa aveva servito come direttore di diversi istituti di protezione.","Nearly all of her royalties were sent to a fund to support needy children, and she herself served as the director at several protective institutions.","Casi todos sus derechos de autor fueron enviados a un fondo para ayudar a niños necesitados, y ella misma había hecho de directora en varias instituciones protectoras.","Nearly all of her royalties were sent to a fund to support needy children, and she herself served as the director at several protective institutions.","Nearly all of her royalties were sent to a fund to support needy children, and she herself served as the director at several protective institutions.","Nearly all of her royalties were sent to a fund to support needy children, and she herself served as the director at several protective institutions.","Nearly all of her royalties were sent to a fund to support needy children, and she herself served as the director at several protective institutions."
,"Some envious people tried to call this ""fake charity"", but the more that people learned about her, the more those voices withered and died away.","Some envious people tried to call this fake charity, but the more that people learned about her, the more those voices withered and died away. "," Some envious people tried to call this fake charity, but the more that people learned about her, the more those voices withered and died away.",一部の嫉妬深い人々は、それを偽善的であると批判しようとしたが、彼女を知れば知るほど、その声は小さく萎み、消えていった。,一部の嫉妬深い人々は、それを偽善的であると批判しようとしたが、彼女を知れば知るほど、その声は小さく萎み、消えていった。,"Некоторые завистники называли это фальшивой благотворительностью, но чем больше люди узнавали о ней, тем больше таких голосов увядало и стихало.","Algumas pessoas invejosas tentaram acusar isso de ""falsa caridade"", mas conforme as pessoas foram aprendendo sobre ela, mais essas vozes foram secando e morrendo.",有一部分嫉妒心强的人想要批判她这是伪善，但越是了解她，这声音就会越小，最终消失。,有一部分嫉妒心強的人想要批判她這是偽善，但越是了解她，這聲音就會越小，最終消失。,"Qualche persona invidiosa provò a definire ciò falsa carità, ma più quelle persone la conoscevano e più quelle voci si attenuavano e scomparivano.","Some envious people tried to call this ""fake charity"", but the more that people learned about her, the more those voices withered and died away.","Algunos envidiosos intentaron calificar esto como ""caridad falsa"", pero cuanta más gente sabía de ella, más se marchitaban y se desvanecían aquellas voces.","Some envious people tried to call this ""fake charity"", but the more that people learned about her, the more those voices withered and died away.","Some envious people tried to call this ""fake charity"", but the more that people learned about her, the more those voices withered and died away.","Some envious people tried to call this ""fake charity"", but the more that people learned about her, the more those voices withered and died away.","Some envious people tried to call this ""fake charity"", but the more that people learned about her, the more those voices withered and died away."
