Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
Ushiromiya Battler,"""......Well, I do think this is a ridiculous argument that's horribly twisted. If my opponent was human, I'm sure they'd yell at me like I was out of my mind.""","""...Well, I do think it's a ridiculous argument that's horribly twisted. If my opponent were human, I'm sure they'd yell at me like I was out of my mind. ","""......Well, I think that this is a ridiculous argument that's horribly twisted. If my opponent was human, I'm sure they'd yell at me like I was out of my mind. ",「……まぁ、屁理屈まみれの暴論だとは思うぜ。相手が人間だったなら、寝言を言うなと怒鳴られるところだろうよ。,「……まぁ、屁理屈まみれの暴論だとは思うぜ。相手が人間だったなら、寝言を言うなと怒鳴られるところだろうよ」,"""......Что ж, полагаю, это нелепый и ужасно искажённый аргумент. Будь моим противником человек, на меня бы уже наорали, что я выжил из ума.""","""......Bem, eu também penso que esse seja um argumento ridículo que está horrivelmente distorcido. Se meu oponente fosse humano, eu tenho certeza que ele gritaria comigo dizendo que estou maluco.""",「……嘛，我也觉得这是尽说歪理的谬论。对手是人类的话，此刻就会骂我，让我少说梦话吧。」,「……嘛，我也覺得這是盡說歪理的謬論。對手是人類的話，此刻就會罵我，讓我少說夢話吧。」,"""... Beh, credo che questo sia un ragionamento ridicolo terribilmente contorto. Se il mio avversario fosse un umano, sono sicuro che mi urlerebbero contro dandomi del pazzo.","""......Well, I do think this is a ridiculous argument that's horribly twisted. If my opponent was human, I'm sure they'd yell at me like I was out of my mind.""","""... Bueno, pienso que este es un argumento ridículo y horriblemente retorcido. Si mi oponente fuese humano, estoy seguro de que me gritaría que estoy loco.""","""……ﺣﺴﻨًﺎ، ﺃﻋﺘﺮﻑ ﺃﻥ ﻫﺬﺍ ﻫﺮﺍﺀ ﻣﻠﻲﺀ ﺑﺎﻟﻤﻨﻄﻖ ﺍﻟﻤﻠﺘﻮﻱ. ﻟﻮ ﻛﺎﻥ ﺧﺼﻤﻲ ﺑﺸﺮﻳًﺎ ﻟﺼﺮﺥ ﻓﻲ ﻭﺟﻬﻲ ﻗﺎﺋﻼً ﺃﻧﻬﺎ ﻏﻴﺮ ﻣﻌﻘﻮﻟﺔٍ ﻭﻣﻠﺘﻮﻳﺔٍ ﻟﻠﻐﺎﻳﺔ.""","""......Well, I do think this is a ridiculous argument that's horribly twisted. If my opponent was human, I'm sure they'd yell at me like I was out of my mind.""","""......Well, I do think this is a ridiculous argument that's horribly twisted. If my opponent was human, I'm sure they'd yell at me like I was out of my mind.""","""......Well, I do think this is a ridiculous argument that's horribly twisted. If my opponent was human, I'm sure they'd yell at me like I was out of my mind."""
Ushiromiya Battler,"""......But my opponent is a witch. And after all, that is the kind of competition we're having, isn't it? I'll use any kind of reckless argument to explain it using humans, and deny the witch!!""","...But my opponent is a witch. And after all, that's the kind of competition we're having, isn't it? I'll use any kind of reckless argument to explain it using humans and deny the witch!!"" ","......But my opponent is a witch. And after all, that is the kind of competition we're having, isn't it? I'll use any kind of reckless argument to explain it using humans, and deny the witch!!""",……だが、俺の相手は魔女だ。そして、俺たちがやってるのはそういう勝負なんだろう？　どんな暴論であろうとも、人間で説明を付け、魔女を否定する！！」,「……だが、俺の相手は魔女だ。そして、俺たちがやってるのはそういう勝負なんだろう？　どんな暴論であろうとも、人間で説明を付け、魔女を否定する！！」,"""......Но мой противник ведьма. И, в конце концов, таков характер нашего соперничества, не так ли? Я воспользуюсь любым безрассудным аргументом для объяснения, что тут поработали люди, и смету ведьму!""","""......Mas meu oponente é uma bruxa. E no final, é esse o tipo de competição que estamos tendo, não é? Eu vou usar qualquer tipo de argumento imprudente para explicar com métodos humanos, e negar a bruxa!!""",「……但是，我的对手是魔女。而且，我们在进行的就是这样的对局吧？不管什么样的谬论，都可以用于以人类所为做出解释，否定魔女！！」,「……但是，我的對手是魔女。而且，我們在進行的就是這樣的對局吧？不管什麼樣的謬論，都可以用於以人類所為做出解釋，否定魔女！！」,"... Ma il mio avversario è una strega. E dopotutto, è il tipo di sfida che stiamo avendo, no? Userò qualsiasi tipo di ragionamento incosciente per spiegarlo usando gli umani, e negare la strega!!""","""......But my opponent is a witch. And after all, that is the kind of competition we're having, isn't it? I'll use any kind of reckless argument to explain it using humans, and deny the witch!!""","""... Pero mi oponente es una bruja. Y después de todo, esa es la clase de competencia que estamos teniendo, ¿verdad? ¡¡Usaré cualquier tipo de argumento ridículo para explicarlo usando humanos, y negando a las brujas!!""","""...ﻭﻟﻜﻦ ﺧﺼﻤﻲ ﺳﺎﺣﺮﺓ. ﻣﻬﻤﺎ ﻳﻜﻦ، ﺃﻟﻴﺴﺖ ﺣﺠﺔً ﻣﺜﺎﻟﻴﺔً ﻟﻘﺘﺎﻝ ﻣﺜﻞ ﻫﺬﺍ؟ ﻟﻦ ﺃﺗﻮﺍﻧﻰ ﻋﻦ ﺍﺳﺘﺨﺪﺍﻡ ﺃﻱ ﺣﺠﺔٍ ﺳﺨﻴﻔﺔٍ ﺃﺳﺘﻄﻴﻊ ﺑﻬﺎ ﺇﻧﻜﺎﺭ ﺍﻟﺴﺎﺣﺮﺍﺕ!!""","""......But my opponent is a witch. And after all, that is the kind of competition we're having, isn't it? I'll use any kind of reckless argument to explain it using humans, and deny the witch!!""","""......But my opponent is a witch. And after all, that is the kind of competition we're having, isn't it? I'll use any kind of reckless argument to explain it using humans, and deny the witch!!""","""......But my opponent is a witch. And after all, that is the kind of competition we're having, isn't it? I'll use any kind of reckless argument to explain it using humans, and deny the witch!!"""
Ushiromiya Battler,"""......Anyway, with this move, I'll never again have to doubt any of the 18 who are close to me. I will never again repeat the defeat I suffered last time...!!""","""...Anyway, with this move, I won't have to doubt any of the 18 who are close to me again. I won't suffer a defeat like last time again...!!"" ","""......Anyway, with this move, I won't have to doubt any of the 18 who are close to me again. I won't repeat a defeat like last time again...!!""",「……とにかく、この一手で俺は二度と親しい１８人のみんなを疑わなくて済む。俺は二度とッ、前回の失敗は繰り返さないッ…！！」,「……とにかく、この一手で俺は二度と親しい１８人のみんなを疑わなくて済む。俺は二度とッ、前回の失敗は繰り返さないッ…！！」,"""......Как бы там ни было, благодаря этому ходу мне не придётся вновь подозревать кого‐либо из восемнадцати близких мне людей. Я не потерплю такого поражения, как в прошлый раз!..""","""......De qualquer forma, com esse movimento, eu nunca mais vou ter que duvidar de nenhum dos 18 que são próximos a mim. Eu nunca mais vou repetir a derrota que eu sofri da última vez...!!""",「……总之，通过这一招，我就可以不用再怀疑亲爱的十八人了。我再也不会，重蹈上次失败的覆辙…！！」,「……總之，通過這一招，我就可以不用再懷疑親愛的十八人了。我再也不會，重蹈上次失敗的覆轍…！！」,"""... Ad ogni modo, con questa mossa, non avrò più dubbi sul fatto che ognuno dei 18 sia dalla mia parte. Non ripeterò ancora una sconfitta come l'ultima volta...!!""","""......Anyway, with this move, I'll never again have to doubt any of the 18 who are close to me. I will never again repeat the defeat I suffered last time...!!""","""... En fin, con este movimiento, no tengo que dudar de las 18 personas cercanas a mí de nuevo. ¡¡Nunca más repetiré la derrota que sufrí la última vez!!...""","""...ﻋﻠﻰ ﻛﻞ ﺣﺎﻝ، ﻟﻦ ﺃﺿﻄﺮ ﺇﻟﻰ ﺍﻟﺸﻚ ﻓﻲ ﺃﻱٍّ ﻣﻦ ﺍﻟﺜﻤﺎﻧﻴﺔ ﻋﺸﺮ ﺍﻟﻤﻘﺮﺑﻴﻦ ﻣﻨﻲ ﺑﺎﺳﺘﻌﻤﺎﻝ ﻫﺬﻩ ﺍﻟﺤﺠﺔ. ﻭﻟﻦ ﺃﺗﻠﻘﻰ ﺃﻱ ﻫﺰﻳﻤﺔٍ ﺃﺧﺮﻯ ﻣﺠﺪﺩًﺍ....!!""","""......Anyway, with this move, I'll never again have to doubt any of the 18 who are close to me. I will never again repeat the defeat I suffered last time...!!""","""......Anyway, with this move, I'll never again have to doubt any of the 18 who are close to me. I will never again repeat the defeat I suffered last time...!!""","""......Anyway, with this move, I'll never again have to doubt any of the 18 who are close to me. I will never again repeat the defeat I suffered last time...!!"""
Ronove,"""......I see. You have learned from your defeat last time. That is good. It is no surprise that by the third game you have become quite devious.""","""...I see. You have learned from your previous defeat. That is good. It's no surprise that you've become so devious now that you're in your third game."" ","""......I see. You have learned from your defeat last time. That is good. It is no surprise that by the third game you have become quite devious.",「……なるほど。前回の失敗を学ばれているのですね。良いことですよ。さすがに三度もゲームを重ねると要領がよくなるものです。,「……なるほど。前回の失敗を学ばれているのですね。良いことですよ。さすがに三度もゲームを重ねると要領がよくなるものです」,"""......Понимаю. Вы вынесли урок из прошлого раза. Это хорошо. Не удивительно, что к третьей игре вы стали довольно‐таки хитрым.""","""......Eu entendo. Você aprendeu a partir de sua última derrota. Isso é bom. Não é surpresa que com esse terceiro jogo você tenha aprendido a como lidar com as coisas e se tornado um pouco mais desonesto.""",「……原来如此。是从上次失败中学到东西了呢。这是好事啊。到底是进行到第三局了啊，会抓要领了呢。」,「……原來如此。是從上次失敗中學到東西了呢。這是好事啊。到底是進行到第三局了啊，會抓要領了呢。」,"""... Capisco. Ha imparato dalla sconfitta dell'ultima volta. Ottimo. Non è una sorpresa che nel terzo gioco lei sia diventato abbastanza contorto.","""......I see. You have learned from your defeat last time. That is good. It is no surprise that by the third game you have become quite devious.""","""... Ya veo. Ha aprendido de su derrota de la última vez. Eso es bueno. No es de extrañar que al tercer juego se haya vuelto bastante astuto.""","""...ﻓﻬﻤﺖ. ﻟﻘﺪ ﺗﻌﻠﻤﺖ ﻣﻦ ﻫﺰﻳﻤﺘﻚ ﺍﻟﺴﺎﺑﻘﺔ. ﻫﺬﺍ ﺟﻴﺪ. ﻓﺒﻌﺪ ﺛﻼﺙ ﺟﻮﻻﺕ ﻣﻦ ﺍﻟﻠﻌﺐ، ﻻ ﺑﺪ ﺃﻥ ﺗﺒﺪﺃ ﻓﻲ ﺇﺗﻘﺎﻥ ﺍﻷﻣﻮﺭ.""","""......I see. You have learned from your defeat last time. That is good. It is no surprise that by the third game you have become quite devious.""","""......I see. You have learned from your defeat last time. That is good. It is no surprise that by the third game you have become quite devious.""","""......I see. You have learned from your defeat last time. That is good. It is no surprise that by the third game you have become quite devious."""
Ronove,""".........You first strengthen your own defense. That is truly a solid first step. Quite a spectacular move, I think.""","""......You first strengthen your own defense. That is truly a solid first step. Quite a spectacular move, I would say."" ",".........You first strengthen your own defense. That is truly a solid first step. Quite a spectacular move, I think.""",………まずは自陣の守りを固める。実に堅実な初歩です。なかなかの妙手と思いますよ。」,「………まずは自陣の守りを固める。実に堅実な初歩です。なかなかの妙手と思いますよ」,""".........Сначала укрепляется защита. Это воистину твёрдый первый шаг. Довольно эффектный ход, как мне кажется.""",""".........Sua força principal é sua própria defesa. Este é verdadeiramente um sólido primeiro passo. Um movimento deveras espetacular, eu diria.""",「………首先巩固自阵的防守。确实是坚实的起手。我觉得这是一步相当不错的妙着哦。」,「………首先鞏固自陣的防守。確實是堅實的起手。我覺得這是一步相當不錯的妙著哦。」,"... Dapprima ha rafforzato la sua difesa. Davvero un solido primo passo. {n}Una mossa piuttosto spettacolare, credo.""",""".........You first strengthen your own defense. That is truly a solid first step. Quite a spectacular move, I think.""","""... Usted primero fortalece su propia defensa. Ese es un primer paso verdaderamente sólido. Un movimiento bastante espectacular, me parece.""","""...ﺍﺑﺘﺪﺃﺕ ﺑﺘﻌﺰﻳﺰ ﺩﻓﺎﻋﺎﺗﻚ. ﻫﺬﻩ ﺣﻘًﺎ ﺧﻄﻮﺓٌ ﺃﻭﻟﻰ ﻣﺘﻴﻨﺔ. ﺃﻋﺘﻘﺪ ﺃﻧﻬﺎ ﺣﺮﻛﺔ ﺫﻛﻴﺔ.""",""".........You first strengthen your own defense. That is truly a solid first step. Quite a spectacular move, I think.""",""".........You first strengthen your own defense. That is truly a solid first step. Quite a spectacular move, I think.""",""".........You first strengthen your own defense. That is truly a solid first step. Quite a spectacular move, I think."""
Ushiromiya Battler,"""Well, even if we do assume that there is a 19th person, there are still a few tricks left that I can't get past no matter how many humans I add, like the number of master keys. ...Still, it isn't bad as a first step, for the time being.""","""Well, even if we do assume that there's a 19th person, there are still a few tricks left that I can't resolve, like the actual number of master keys, no matter how many humans I add. ...Still, it isn't bad as a first step, for the time being."" ","""Well, even if we do assume that there is a 19th person, there are still a few tricks left that I can't clear, like the actual number of master keys, no matter how many humans I add. ...Still, it isn't bad as a first step, for the time being.""",「まぁ、１９人目の人物を仮定したとしても、マスターキーの本数などのように、何人、人間を増やしてもクリアできないトリックも残ってる。…しかし、とりあえずの初手としては悪くないはずだ。」,「まぁ、１９人目の人物を仮定したとしても、マスターキーの本数などのように、何人、人間を増やしてもクリアできないトリックも残ってる。…しかし、とりあえずの初手としては悪くないはずだ」,"""Ну, даже если мы допустим наличие 19‐го человека, осталось ещё несколько трюков, которые у меня не получилось раскусить, как тот трюк с количеством универсальных ключей, сколько бы людей я ни добавлял. ...Как бы там ни было, покамест, это неплохой первый шаг.""","""Bem, mesmo se assumirmos que tem uma 19ª pessoa, ainda há alguns truques deixados para trás que eu não consigo superar, não importa quantos humanos eu coloque, por causa do número de chaves mestras. ...Ainda assim, não é ruim como um pequeno passo, para o que ainda virá pela frente.""",「不过，即便假定了第十九人的存在，也仍会留下诸如总钥匙的数量等，无法以增加人数来解决的诡计。…不过，以此作为第一步应该不算坏。」,「不過，即便假定了第十九人的存在，也仍會留下諸如總鑰匙的數量等，無法以增加人數來解決的詭計。…不過，以此作為第一步應該不算壞。」,"""Beh, anche se diamo per buono che ci sia una diciannovesima persona, ci sono ancora un po' di trucchi che non sono chiari, come il vero numero dei passepartout, non importa quanti umani aggiungo. ... Tuttavia, non è male come primo passo, per il momento.""","""Well, even if we do assume that there is a 19th person, there are still a few tricks left that I can't get past no matter how many humans I add, like the number of master keys. ...Still, it isn't bad as a first step, for the time being.""","""Bueno, incluso si asumimos que hay una 19.ª persona, aún hay algunos trucos que no puedo aclarar por muchos humanos que añada, como el número real de llaves maestras... Aun así, no está mal como primer paso, por el momento.""","""ﺣﺴﻨًﺎ، ﺣﺘﻰ ﻟﻮ ﺃﻓﺘﺮﺿﻨﺎ ﻭﺟﻮﺩ ﺍﻟﺸﺨﺺ ﺍﻟﺘﺎﺳﻊ ﻋﺸﺮ، ﻻ ﺯﺍﻝ ﻫﻨﺎﻙ ﺍﻟﻌﺪﻳﺪ ﻣﻦ ﺍﻟﺤﻴﻞ ﺍﻟﺘﻲ ﻳﺼﻌﺐ ﻋﻠﻲّ ﺗﻔﺴﻴﺮﻫﺎ ﻣﻬﻤﺎ ﺃﺿﻔﺖ ﺃﺷﺨﺎﺻًﺎ ﺟﺪﺩ، ﻛﺎﻟﻌﺪﺩ ﺍﻟﻔﻌﻠﻲ ﻟﻠﻤﻔﺎﺗﻴﺢ ﺍﻟﺮﺋﻴﺴﺔ. ...ﻭﻟﻜﻨﻬﺎ ﻟﻴﺴﺖ ﺑﺪﺍﻳﺔ ﺳﻴﺌﺔ ﻓﻲ ﺍﻟﻮﻗﺖ ﺍﻟﺤﺎﻟﻲ.""","""Well, even if we do assume that there is a 19th person, there are still a few tricks left that I can't get past no matter how many humans I add, like the number of master keys. ...Still, it isn't bad as a first step, for the time being.""","""Well, even if we do assume that there is a 19th person, there are still a few tricks left that I can't get past no matter how many humans I add, like the number of master keys. ...Still, it isn't bad as a first step, for the time being.""","""Well, even if we do assume that there is a 19th person, there are still a few tricks left that I can't get past no matter how many humans I add, like the number of master keys. ...Still, it isn't bad as a first step, for the time being."""
Ronove,"""This is your trump card, the important piece known as the 19th person. ......You countered my move of asking for evidence by using the ""Devil's Proof"". ......A good skirmish.""","""Battler-sama, your trump card is the important piece called the 19th person. ...You countered my move of asking where the proof was by using the ""Devil's Proof"". ...A good skirmish. ","""Battler-sama, your trump card is the important piece called the 19th person. ......You countered my move of asking where the proof was by using the 'Devil's Proof'. ......A good skirmish.",「戦人さまの切り札、１９人目の人物という大駒。……証拠はあるのかとの私の一手に、戦人さまは“悪魔の証明”で反撃。……良い攻防です。,「戦人さまの切り札、１９人目の人物という大駒。……証拠はあるのかとの私の一手に、戦人さまは“悪魔の証明”で反撃。……良い攻防です」,"""Баттлер‐сама, вашим козырем является важная фигура под названием 19‐й человек. ......Вы ответили на мой ход просьбой предоставить доказательство, прибегнув к 'Доказательству дьявола'. ......Недурное скрещение мечей.""","""Esse é o seu trunfo, a importante peça conhecida como 19ª pessoa.{n}......Você contra‐atacou meu movimento pedindo por evidências usando a ""Prova Diabólica"". ......Uma boa escaramuça.""",「战人少爷的王牌，是名为第十九人的重要棋子。……面对我所下的要求证据的一着，战人少爷以“恶魔的证明”做出了反击。……漂亮的攻防呢。」,「戰人少爺的王牌，是名為第十九人的重要棋子。……面對我所下的要求證據的一著，戰人少爺以“惡魔的證明”做出了反擊。……漂亮的攻防呢。」,"""Battler-sama, il suo asso nella manica è l'importante pedina chiamata diciannovesima persona. ... Ha contrattaccato la mia mossa chiedendomi dove fossero le prove usando la ‘Prova del Diavolo’. ... Una buona scaramuccia.","""This is your trump card, the important piece known as the 19th person. ......You countered my move of asking for evidence by using the ""Devil's Proof"". ......A good skirmish.""","""Este es su as bajo la manga, la pieza importante conocida como la 19.ª persona... Usted contraatacó mi movimiento de pedir pruebas utilizando la ""Prueba Diabólica""... Una buena escaramuza.""","""ﺑﺎﺗﻠﺮ-ﺳﺎﻣﺎ. ﺑﻄﺎﻗﺘﻚ ﺍﻟﺮﺍﺑﺤﺔ ﻫﻲ ﺍﻟﻘﻄﻌﺔ ﺍﻟﻤﻬﻤﺔ ﺍﻟﺘﻲ ﺗﺴﻤﻰ ﺍﻟﺸﺨﺺ ﺍﻟﺘﺎﺳﻊ ﻋﺸﺮ. ......ﻭﻗﺪ ﺭﺩﺩﺕ ﺧﻄﻮﺗﻲ ﺑﺴﺆﺍﻟﻲ ﻋﻦ ﺩﻟﻴﻞ ﻳُﺜﺒﺖ ﻭﺟﻮﺩﻩ ﺑﻨﻈﺮﻳﺔ 'ﺩﻟﻴﻞ ﺍﻟﺸﻴﻄﺎﻥ'. ......ﻣﻨﺎﻭﺷﺔٌ ﺟﻴﺪﺓ.""","""This is your trump card, the important piece known as the 19th person. ......You countered my move of asking for evidence by using the ""Devil's Proof"". ......A good skirmish.""","""This is your trump card, the important piece known as the 19th person. ......You countered my move of asking for evidence by using the ""Devil's Proof"". ......A good skirmish.""","""This is your trump card, the important piece known as the 19th person. ......You countered my move of asking for evidence by using the ""Devil's Proof"". ......A good skirmish."""
Ronove,"""Although I have no excuse for making moves by myself when Milady is absent, .........I find that I too have become slightly interested. ...I wonder if you would permit me to make yet another move on Milady's behalf?""","Although I must apologize for making a move by myself when Milady isn't here, ......I find that I too am growing slightly interested. ...I wonder if you will allow me to make yet another move on Milady's behalf?"" "," Although I have no excuse for making a move by myself when Milady isn't here, .........I find that I too am becoming slightly interested. ...I wonder if you will allow me to make yet another move on Milady's behalf?""",お嬢様のおられないところで、勝手に手を進めてしまうのは申し訳ないのですが。………私も少し、面白くなってきてしまったところです。…お嬢様に代わり、さらに一手進めさせていただきましょうか。」,「お嬢様のおられないところで、勝手に手を進めてしまうのは申し訳ないのですが。………私も少し、面白くなってきてしまったところです。…お嬢様に代わり、さらに一手進めさせていただきましょうか」,"""Хотя для меня непростительно самолично совершать ход в отсутствие миледи... .........Похоже, во мне тоже просыпается лёгкий интерес. ...Могу поинтересоваться, позволите ли вы мне совершить ещё один ход от лица миледи?""","""Embora eu não tenha desculpas por fazer movimentos por conta própria enquanto a ojou‐sama não está presente, .........percebi que eu também fiquei ligeiramente interessado. ...Pergunto‐me se você me permitiria fazer mais um movimento pelo lado da ojou‐sama?""",「虽然在小姐不在场时擅自推进战局，令我颇为过意不去。………但我也稍许提起点兴致来了。…就由我替代小姐再下一着吧。」,「雖然在小姐不在場時擅自推進戰局，令我頗為過意不去。………但我也稍許提起點興致來了。…就由我替代小姐再下一著吧。」,"Sebbene non abbia scuse per aver fatto una mossa io stesso mentre Milady non c'era... trovo che anche io mi stia un poco interessando. ... Mi chiedo se mi permetterà di fare ancora un'altra mossa al posto di Milady?""","""Although I have no excuse for making moves by myself when Milady is absent, .........I find that I too have become slightly interested. ...I wonder if you would permit me to make yet another move on Milady's behalf?""","""Aunque no tengo excusa por hacer un movimiento mientras milady no está aquí... me he dado cuenta de que yo también me he interesado un poco... Me pregunto si me permitiría hacer otro movimiento en nombre de milady""","""ﺭﻏﻢ ﺃﻧﻨﻲ ﻻ ﺃﻣﻠﻚ ﻋﺬﺭًﺍ ﻻﺗﺨﺎﺫ ﺧﻄﻮﺍﺕٍ ﺑﻤﻔﺮﺩﻱ ﻓﻲ ﻏﻴﺎﺏ ﺳﻴﺪﺗﻲ، ...ﺃﺟﺪ ﺃﻧﻨﻲ ﺃﺻﺒﺤﺖُ ﻣﻬﺘﻤًﺎ ﺑﻌﺾ ﺍﻟﺸﻲﺀ ﺃﻳﻀًﺎ. ...ﺃﺗﺴﺎﺀﻝ ﺇﻥ ﻛﻨﺖَ ﺳﺘﺴﻤﺢ ﻟﻲ ﺑﺎﺗﺨﺎﺫ ﺧﻄﻮﺓٍ ﺃﺧﺮﻯ ﻧﻴﺎﺑﺔً ﻋﻦ ﺳﻴﺪﺗﻲ؟""","""Although I have no excuse for making moves by myself when Milady is absent, .........I find that I too have become slightly interested. ...I wonder if you would permit me to make yet another move on Milady's behalf?""","""Although I have no excuse for making moves by myself when Milady is absent, .........I find that I too have become slightly interested. ...I wonder if you would permit me to make yet another move on Milady's behalf?""","""Although I have no excuse for making moves by myself when Milady is absent, .........I find that I too have become slightly interested. ...I wonder if you would permit me to make yet another move on Milady's behalf?"""
Ushiromiya Battler,"""......Go for it. I don't care if you're a witch or a demon, I'll take you all on!""","""...Let's have it. I've got no shortage of opponents, be they witches or demons!"" ","""......Come on. I don't care if you're a witch or a demon, it won't be enough!""",「……来いよ。魔女だろうと悪魔だろうと、相手に不足はねぇ！」,「……来いよ。魔女だろうと悪魔だろうと、相手に不足はねぇ！」,"""......Валяй. Мне всё равно, ведьма ты или демон, этого будет недостаточно!""","""......Pode mandar. Não me importo se você é uma bruxa ou um demônio, eu vou encarar tudo que mandar!""",「……来吧。魔女也好恶魔也罢，我全都奉陪！」,「……來吧。魔女也好惡魔也罷，我全都奉陪！」,"""... Dai. Non mi importa se sei una strega o un demone, non sarà abbastanza!""","""......Go for it. I don't care if you're a witch or a demon, I'll take you all on!""","""... Adelante. ¡No importa si es una bruja o un demonio, me enfrentaré a todos!""","""...ﻫﺎﺕ ﻣﺎ ﻟﺪﻳﻚ، ﻻ ﺃﻫﺘﻢ ﺇﻥ ﻛﺎﻥ ﺧﺼﻤﻲ ﺷﻴﻄﺎﻧًﺎ ﺃﻡ ﺳﺎﺣﺮﺓ! ﺳﺄﻭﺍﺟﻬﻜﻢ ﺟﻤﻴﻌًﺎ!""","""......Go for it. I don't care if you're a witch or a demon, I'll take you all on!""","""......Go for it. I don't care if you're a witch or a demon, I'll take you all on!""","""......Go for it. I don't care if you're a witch or a demon, I'll take you all on!"""
Ronove,"""The move that you made, the ""Devil's Proof"". It is a specialty of us demons, but there are also various other moves available to us. ......Do you know of a move called ""Hempel's Raven""?""","""This move you presented called the ""Devil's Proof""... It's a specialty of us demons, but there are also various other moves available to us. ...Do you know of a move called ""Hempel's Raven""?"" ","""This move that you presented called the 'Devil's Proof'. It's a specialty of us demons, but there are also various other moves available to us. ......Do you know of a move called 'Hempel's Raven'?""",「戦人さまの指された一手“悪魔の証明”。これは私ども悪魔の十八番でございますが、他にも私どもにはいくつもの手がございます。……“ヘンペルのカラス”という一手はご存知ですかな？」,「戦人さまの指された一手“悪魔の証明”。これは私ども悪魔の十八番でございますが、他にも私どもにはいくつもの手がございます。……“ヘンペルのカラス”という一手はご存知ですかな？」,"""Представленный вами ход зовётся 'Доказательством дьявола'. Он является нашей, демонической, специальностью, но нам также доступно множество других ходов. ......Доводилось ли вам слышать о ходе под названием 'Ворон Гемпеля'?""","""O movimento que você fez, a ""Prova Diabólica"". É uma especialidade entre nós demônios, mas há também muitos outros e variados movimentos disponíveis para nós. ......Você conhece um movimento chamado ""Paradoxo do Corvo""?""",「战人少爷所下的这一着“恶魔的证明”。虽然正是我们恶魔的得意本领，但我们还会不少其他的招数。……请问您知道“亨佩尔的乌鸦”这一招吗？」,「戰人少爺所下的這一著“惡魔的證明”。雖然正是我們惡魔的得意本領，但我們還會不少其他的招數。……請問您知道“亨佩爾的烏鴉”這一招嗎？」,"""Questa mossa che ha presentato è chiamata la ‘Prova del Diavolo'. {n}È una specialità di noi demoni, ma abbiamo anche altre mosse disponibili. Conosce una mossa chiamata ‘Corvo di Hempel’?""","""The move that you made, the ""Devil's Proof"". It is a specialty of us demons, but there are also various other moves available to us. ......Do you know of a move called ""Hempel's Raven""?""","""El movimiento que usted hizo, la ""Prueba Diabólica"". Es una especialidad de nosotros, los demonios, pero también disponemos de otros movimientos... ¿Conoce el movimiento llamado ‘la paradoja del cuervo de Hempel’?""","""ﺍﻟﺤﺮﻛﺔ ﺍﻟﺘﻲ ﺍﺗﺨﺬﺗﻬﺎ، 'ﺩﻟﻴﻞ ﺍﻟﺸﻴﻄﺎﻥ'. ﻫﻲ ﺣﺮﻛﺔ ﺧﺎﺻﺔ ﺑﻨﺎ ﻧﺤﻦ ﺍﻟﺸﻴﺎﻃﻴﻦ، ﻭﻟﻜﻦ ﻫﻨﺎﻙ ﺍﻟﻌﺪﻳﺪ ﻣﻦ ﺍﻟﺤﺮﻛﺎﺕ ﺍﻷﺧﺮﻯ ﺍﻟﻤﺘﺎﺣﺔ ﻟﻨﺎ. ......ﻫﻞ ﺳﻤﻌﺖ ﻣﻦ ﻗﺒﻞ ﻋﻦ ﺣﺮﻛﺔٍ ﺗُﺴﻤﻰ 'ﻏﺮﺍﺏ ﻫﻴﻤﺒﻞ'؟""","""The move that you made, the ""Devil's Proof"". It is a specialty of us demons, but there are also various other moves available to us. ......Do you know of a move called ""Hempel's Raven""?""","""The move that you made, the ""Devil's Proof"". It is a specialty of us demons, but there are also various other moves available to us. ......Do you know of a move called ""Hempel's Raven""?""","""The move that you made, the ""Devil's Proof"". It is a specialty of us demons, but there are also various other moves available to us. ......Do you know of a move called ""Hempel's Raven""?"""
Ushiromiya Battler,"""Hempel's Raven...?? What are you talking about?""","""Hempel's Raven...?? What are you talking about?"" ","""Hempel's Raven...?? What are you talking about?""",「ヘンペルのカラスぅ…？？　何の話だ？」,「ヘンペルのカラスぅ…？？　何の話だ？」,"""Ворон Гемпеля?.. О чём это ты?""","""Paradoxo do Corvo...? Do que você está falando?""",「亨佩尔的乌鸦…？？在说什么呢？」,「亨佩爾的烏鴉…？？在說什麼呢？」,"""Corvo di Hempel...?? Di cosa stai parlando?""","""Hempel's Raven...?? What are you talking about?""","""¿Cuervo de Hempel?... ¿De qué hablas?""","""ﻏﺮﺍﺏ ﻫﻴﻤﺒﻞ...؟؟ ﻣﺎ ﺍﻟﺬﻱ ﺗﺘﺤﺪﺙ ﻋﻨﻪ؟""","""Hempel's Raven...?? What are you talking about?""","""Hempel's Raven...?? What are you talking about?""","""Hempel's Raven...?? What are you talking about?"""
