Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,Today was Maria's birthday.,Today was Maria's birthday. ,Today was Maria's birthday.,今日は真里亞の誕生日。,今日は真里亞の誕生日。,Сегодня был день рождения Марии.,Hoje é aniversário de Maria.,今天是真里亚的生日。,今天是真里亞的生日。,Oggi era il compleanno di Maria.,Today was Maria's birthday.,Hoy era el cumpleaños de María.,ُﻳُﺼﺎﺩﻑ ﺍﻟﻴﻮﻡ ﻋﻴﺪ ﻣﻴﻼﺩ ﻣﺎﺭﻳﺎ.,Today was Maria's birthday.,Today was Maria's birthday.,Today was Maria's birthday.
,Rosa always spent Maria's birthday at a wonderful restaurant.,Rosa always tried to let Maria spend her birthdays at great restaurants. ,Rosa had wanted to let Maria spend her birthday at a wonderful restaurant no matter what.,楼座は彼女の誕生日を、必ず素敵なレストランで過ごすようにしていた。,楼座は彼女の誕生日を、必ず素敵なレストランで過ごすようにしていた。,"Роза хотела, чтобы Мария провела свой день рождения в замечательном ресторане, несмотря ни на что.",Rosa sempre passa os aniversários dela em restaurantes maravilhosos.,楼座一向都会尽可能地在漂亮的西餐厅里给她过生日。,樓座一向都會盡可能地在漂亮的西餐廳裡給她過生日。,Rosa aveva desiderato che Maria trascorresse il suo compleanno in un ristorante fantastico a qualsiasi costo.,Rosa always spent Maria's birthday at a wonderful restaurant.,Rosa siempre intentaba que María pasara sus cumpleaños en maravillosos restaurantes.,ﻛﺎﻧﺖ ﺭﻭﺯﺍ ﺩﺍﺋﻤًﺎ ﺗﺤﺘﻔﻞ ﺑﻌﻴﺪ ﻣﻴﻼﺩ ﻣﺎﺭﻳﺎ ﻓﻲ ﻣﻄﺎﻋﻢٍ ﻣﺮﻣﻮﻗﺔٍ.,Rosa always spent Maria's birthday at a wonderful restaurant.,Rosa always spent Maria's birthday at a wonderful restaurant.,Rosa always spent Maria's birthday at a wonderful restaurant.
,"When Maria had still been in kindergarten, they had sometimes invited other kids from the neighborhood over and had a party at home.","When Maria had been in kindergarten, they sometimes invited other kids from the neighborhood over and had a party at home. ","When Maria had been in kindergarten, they had sometimes invited other kids from the neighborhood over and had a party at home.",真里亞がまだ幼稚園の頃は、近所のお友達を招いてホームパーティーをしたこともある。,真里亞がまだ幼稚園の頃は、近所のお友達を招いてホームパーティーをしたこともある。,"Когда Мария была в детском саду, они иногда приглашали к себе соседских детей и устраивали вечеринку.","Quando Maria ainda estava no jardim de infância, algumas vezes elas convidavam outras crianças do bairro e faziam uma festa em casa.",在真里亚念幼儿园时，甚至还曾请来过住在附近的小伙伴，为她举办过家庭派对。,在真里亞念幼兒園時，甚至還曾請來過住在附近的小伙伴，為她舉辦過家庭派對。,"Quando Maria era all'asilo, a volte invitavano a casa dei bambini del vicinato e facevano una festa a casa.","When Maria had still been in kindergarten, they had sometimes invited other kids from the neighborhood over and had a party at home.","Cuando María estaba en el jardín de infancia, ellas invitaban a veces a otros niños del vecindario para tener una fiesta en su casa.",ﻋﻨﺪﻣﺎ ﻛﺎﻧﺖ ﻣﺎﺭﻳﺎ ﻓﻲ ﺍﻟﺮﻭﺿﺔ، ﻛﺎﻧﺘﺎ ﻓﻲ ﺑﻌﺾ ﺍﻷﺣﻴﺎﻥ ﺗﺪﻋﻮﺍﻥ ﺃﻃﻔﺎﻻً ﺁﺧﺮﻳﻦ ﻣﻦ ﺍﻟﺤﻲ ﻹﻗﺎﻣﺔ ﺣﻔﻠﺔٍ ﻓﻲ ﺍﻟﻤﻨﺰﻝ.,"When Maria had still been in kindergarten, they had sometimes invited other kids from the neighborhood over and had a party at home.","When Maria had still been in kindergarten, they had sometimes invited other kids from the neighborhood over and had a party at home.","When Maria had still been in kindergarten, they had sometimes invited other kids from the neighborhood over and had a party at home."
,"Rosa would make a wonderful cake, and homemade sweets, and decorate the house herself, making it a huge celebration.","Rosa would make a wonderful cake and snacks and decorate the house herself, making it a huge celebration. ","Rosa would make a wonderful cake and snacks and decorate the house herself, making it a huge celebration.",楼座が腕によりを掛けた、手作りの素敵なケーキやお菓子、室内のレイアウトなどをして、とても盛大に祝ったものだ。,楼座が腕によりを掛けた、手作りの素敵なケーキやお菓子、室内のレイアウトなどをして、とても盛大に祝ったものだ。,"Роза пекла прекрасный торт и готовила закуски и сама украшала дом, готовясь к большому празднику.","Rosa fazia um bolo maravilhoso e também doces caseiros, decorando a casa e fazendo uma grande festa.",当时，楼座可是大显身手，亲手做了好看的蛋糕和小点心呀，装饰室内呀，很是盛大地庆祝了她的生日。,當時，樓座可是大顯身手，親手做了好看的蛋糕和小點心呀，裝飾室內呀，很是盛大地慶祝了她的生日。,"Rosa era solita preparare una torta stupenda e dei dolcetti e addobbava da sé la casa, rendendola una festa strepitosa.","Rosa would make a wonderful cake, and homemade sweets, and decorate the house herself, making it a huge celebration.","Rosa hacía un maravilloso pastel y dulces y decoraba la casa ella misma, haciendo una gran celebración.",ﻛﺎﻧﺖ ﺭﻭﺯﺍ ﺗﺰﻳﻦ ﺍﻟﻤﻨﺰﻝ، ﻭﺗﺼﻨﻊ ﻛﻌﻜﺔ ﺭﺍﺋﻌﺔ ﻣﻊ ﻭﺟﺒﺎﺕ ﺧﻔﻴﻔﺔ، ﻓﻴﺒﺪﻭ ﺍﺣﺘﻔﺎﻻً ﺿﺨﻤًﺎ.,"Rosa would make a wonderful cake, and homemade sweets, and decorate the house herself, making it a huge celebration.","Rosa would make a wonderful cake, and homemade sweets, and decorate the house herself, making it a huge celebration.","Rosa would make a wonderful cake, and homemade sweets, and decorate the house herself, making it a huge celebration."
,"But after they moved and Maria no longer had any friends in the neighborhood, Rosa had started splurging at expensive restaurants instead.","But when they moved and Maria no longer had friends in the neighborhood, Rosa had started splurging at expensive restaurants instead. ","But when they had moved and Maria had stopped having friends in the neighborhood, Rosa had started splurging at expensive restaurants instead.",ただ、引越しの関係で、近所に友人を持たなくなってからは奮発した高級レストランがそれに変わるようになった。,ただ、引越しの関係で、近所に友人を持たなくなってからは奮発した高級レストランがそれに変わるようになった。,"Но когда они переехали и Мария перестала дружить с детьми по соседству, Роза вместо этого стала разоряться на дорогие рестораны.","Mas depois de se mudaram e Maria não ter mais nenhum amigo na vizinhança, Rosa começou a gastar dinheiro em restaurantes de luxo.",不过，出于搬家的关系，自从附近没有小伙伴时起，就狠心放血，换成去高级西餐厅为她庆祝了。,不過，出於搬家的關係，自從附近沒有小伙伴時起，就狠心放血，換成去高級西餐廳為她慶祝了。,"Ma da quando avevano traslocato e Maria non aveva più avuto avuto amici nel vicinato, Rosa aveva preso a spendere un sacco di soldi in ristoranti costosi, invece.","But after they moved and Maria no longer had any friends in the neighborhood, Rosa had started splurging at expensive restaurants instead.","Pero cuando ellas se mudaron y María dejó de tener amigos en el vecindario, Rosa empezó a gastar dinero en restaurantes costosos en su lugar.",ﻟﻜﻦ ﻋﻨﺪﻣﺎ ﺍﻧﺘﻘﻠﺘﺎ ﺑﻌﻴﺪًﺍ ﺑﺤﻴﺚ ﻟﻢ ﻳﻌﺪ ﻟﻤﺎﺭﻳﺎ ﺃﺻﺪﻗﺎﺀ ﻓﻲ ﺍﻟﺠﻮﺍﺭ، ﺍﺳﺘﺒﺪﻟﺖ ﺭﻭﺯﺍ ﺗﻠﻚ ﺍﻟﺤﻔﻼﺕ ﺑﻤﻄﺎﻋﻢ ﺑﺎﻫﻈﺔ ﺍﻟﺜﻤﻦ.,"But after they moved and Maria no longer had any friends in the neighborhood, Rosa had started splurging at expensive restaurants instead.","But after they moved and Maria no longer had any friends in the neighborhood, Rosa had started splurging at expensive restaurants instead.","But after they moved and Maria no longer had any friends in the neighborhood, Rosa had started splurging at expensive restaurants instead."
,"However, today, they were instead in a normal family restaurant.","However, today, they were in a normal family restaurant. ","However, today, they were in a normal family restaurant.",しかし、今日、彼女らがいるのは普通のファミリーレストランだった。,しかし、今日、彼女らがいるのは普通のファミリーレストランだった。,Однако сегодня они посетили обычный семейный ресторан.,"Porém, hoje elas estavam em um restaurante familiar normal.",不过，今天，她们身处的只是普通的家庭西餐厅。,不過，今天，她們身處的只是普通的家庭西餐廳。,"Tuttavia, oggi si trovavano in un comune ristorante a gestione familiare.","However, today, they were instead in a normal family restaurant.","Sin embargo, hoy estaban en un restaurante familiar normal.",ﻭﻟﻜﻦ، ﻋﻠﻰ ﻏﻴﺮ ﺍﻟﻌﺎﺩﺓ، ﻫﺬﻩ ﺍﻟﻤﺮﺓ ﻛﺎﻧﺘﺎ ﺗﺤﺘﻔﻼﻥ ﻓﻲ ﻣﻄﻌﻢ ﻋﺎﺋﻠﻲ ﺑﺴﻴﻂ.,"However, today, they were instead in a normal family restaurant.","However, today, they were instead in a normal family restaurant.","However, today, they were instead in a normal family restaurant."
,"It was also a little late in the day for a kid like Maria to eat there, even with a parent.","It was also a little late in the day for a kid like Maria to eat there, even with a parent. ","It was also a little late in the day for a kid like Maria to eat there, even with a parent.",時間も、真里亞のような子どもが訪れるには親と同伴だとしても少し遅い。,時間も、真里亞のような子どもが訪れるには親と同伴だとしても少し遅い。,"Кроме того, для ребёнка вроде Марии, пусть и в компании родителя, трапеза здесь была несколько поздней по времени.","Era um pouco tarde para uma criança como Maria comer lá, mesmo acompanhada da mãe.",时间也是，即便与妈妈一起，以真里亚这么小的孩子来说，也有点太晚了。,時間也是，即便與媽媽一起，以真里亞這麼小的孩子來說，也有點太晚了。,"Era anche piuttosto tardi perché una bambina come Maria si trovasse lì a mangiare, anche se con un genitore.","It was also a little late in the day for a kid like Maria to eat there, even with a parent.","Era también algo tarde para que una niña como María comiera allí, incluso con un familiar.",ﻛﻤﺎ ﺃﻥ ﺍﻟﻮﻗﺖ ﻛﺎﻥ ﻣﺘﺄﺧﺮًﺍ ﻗﻠﻴﻼً ﻟﺘﻨﺎﻭﻝ ﺍﻟﻄﻌﺎﻡ ﻫﻨﺎﻙ ﺑﺎﻟﻨﺴﺒﺔ ﻟﻄﻔﻠﺔ ﻣﺜﻞ ﻣﺎﺭﻳﺎ، ﺣﺘﻰ ﻟﻮ ﻛﺎﻧﺖ ﺑﺮﻓﻘﺔ ﺃﺣﺪ ﻭﺍﻟﺪﻳﻬﺎ.,"It was also a little late in the day for a kid like Maria to eat there, even with a parent.","It was also a little late in the day for a kid like Maria to eat there, even with a parent.","It was also a little late in the day for a kid like Maria to eat there, even with a parent."
,"Rosa had actually gotten reservations at a fantastical place that Maria would absolutely have loved. Of course, she had also prepared a wonderful cake with Maria's name written on it.","Actually, she had gotten reservations at a fantastic place that would surely have pleased Maria. Of course, she had also prepared a wonderful cake with Maria's name written on it. ","Actually, she had gotten reservations at a fantastic place that would surely have pleased Maria.  Of course, she had also prepared a wonderful cake with Maria's name written on it.",本当は、真里亞もきっと喜んだに違いない、ファンタジックなお店が予約してあった。もちろん、真里亞の名前が書かれた素敵なケーキの準備もあった。,本当は、真里亞もきっと喜んだに違いない、ファンタジックなお店が予約してあった。もちろん、真里亞の名前が書かれた素敵なケーキの準備もあった。,"На самом деле Роза позаботилась получить бронь в замечательное место, которое наверняка порадовало бы Марию. И, разумеется, она также испекла торт с именем Марии, написанном на нём.","Rosa havia feito reservas em um lugar fantástico que Maria com certeza amaria.{n}É claro, ela também preparou um bolo maravilhoso para Maria com seu nome escrito nele.",其实，楼座本来是预约了一定会令真里亚很开心的幻想风餐厅。当然，还准备了写着真里亚名字的漂亮的大蛋糕。,其實，樓座本來是預約了一定會令真里亞很開心的幻想風餐廳。當然，還準備了寫著真里亞名字的漂亮的大蛋糕。,"In realtà, aveva prenotato presso un locale fantastico che avrebbe senza dubbio fatto felice Maria. Naturalmente, aveva anche preparato una torta meravigliosa con su scritto il nome di Maria.","Rosa had actually gotten reservations at a fantastical place that Maria would absolutely have loved. Of course, she had also prepared a wonderful cake with Maria's name written on it.","En realidad, ella había reservado para un lugar fantástico que de seguro habría complacido a María. Por supuesto, ella también había preparado un maravilloso pastel con el nombre de María escrito en él.",ﻓﻲ ﺍﻟﺤﻘﻴﻘﺔ، ﻟﻘﺪ ﺣﺠﺰﺕ ﺭﻭﺯﺍ ﻓﻲ ﻣﻄﻌﻢ ﺭﺍﺋﻊ ﺳﻴﺴﻌﺪ ﻣﺎﺭﻳﺎ ﺑﺎﻟﺘﺄﻛﻴﺪ. ﻭﺑﺎﻟﻄﺒﻊ، ﺟﻬﺰﺕ ﺃﻳﻀًﺎ ﻛﻌﻜﺔ ﺭﺍﺋﻌﺔ ﻣﻜﺘﻮﺏٌ ﻋﻠﻴﻬﺎ ﺍﺳﻢ ﻣﺎﺭﻳﺎ.,"Rosa had actually gotten reservations at a fantastical place that Maria would absolutely have loved. Of course, she had also prepared a wonderful cake with Maria's name written on it.","Rosa had actually gotten reservations at a fantastical place that Maria would absolutely have loved. Of course, she had also prepared a wonderful cake with Maria's name written on it.","Rosa had actually gotten reservations at a fantastical place that Maria would absolutely have loved. Of course, she had also prepared a wonderful cake with Maria's name written on it."
,"......But Rosa just hadn't been able to finish up her work, and had been forced to cancel.",...But Rosa just hadn't been able to finish up her business...and had been forced to cancel. ,"......But Rosa just hadn't been able to finish up her business, and had been forced to cancel.",……でも、楼座の仕事がどうしても片付かず、キャンセルせざるを得なくなってしまったのだ。,……でも、楼座の仕事がどうしても片付かず、キャンセルせざるを得なくなってしまったのだ。,......Но к сожалению у Розы не получилось закончить свои дела вовремя и всё пришлось отменить.,"......Mas Rosa não conseguiu terminar seu trabalho a tempo, e foi obrigada a cancelar.",……只不过，楼座怎么都没能来得及处理完工作，不得不取消了预约。,……只不過，樓座怎麼都沒能來得及處理完工作，不得不取消了預約。,"... Ma Rosa proprio non aveva potuto finire in tempo i suoi affari, ed era stata costretta ad annullare.","......But Rosa just hadn't been able to finish up her work, and had been forced to cancel.","... Pero Rosa no pudo terminar sus negocios, y tuvo que cancelarlo.",ﻟﻜﻨّﻬﺎ ﺍﻧﺸﻐﻠﺖ ﻓﻲ ﻋﻤﻠﻬﺎ... ﻓﺘﺤﺘﻢ ﻋﻠﻴﻬﺎ ﺇﻟﻐﺎﺀ ﺍﻟﺤﺠﺰ.,"......But Rosa just hadn't been able to finish up her work, and had been forced to cancel.","......But Rosa just hadn't been able to finish up her work, and had been forced to cancel.","......But Rosa just hadn't been able to finish up her work, and had been forced to cancel."
,"Since that had turned into a local family restaurant, Rosa felt a little indebted to Maria.","Since that plan had been traded for a local family restaurant, Rosa felt a little indebted to Maria. ","Since that had turned into a local family restaurant, Rosa felt a little indebted to Maria.",それで近所のファミレスということになったので、楼座はちょっぴりの負い目を持っていた。,それで近所のファミレスということになったので、楼座はちょっぴりの負い目を持っていた。,"И поскольку все свелось к местному семейному ресторану, Роза чувствовала себя в долгу перед Марией.","Por terem ido a um restaurante familiar local, Rosa sentiu‐se um pouco em débito com Maria.",对于因此而换成附近的餐厅，楼座是略微有点内疚的。,對於因此而換成附近的餐廳，樓座是略微有點內疚的。,"Siccome era dovuta ricorrere ad un ristorante a gestione familiare nelle vicinanze, Rosa si sentiva leggermente in debito con Maria.","Since that had turned into a local family restaurant, Rosa felt a little indebted to Maria.","Como el plan pasó a ser cenar en un restaurante familiar local, Rosa sentía que estaba un poco en deuda con María.",ﻭﺑﻤﺎ ﺃﻥّ ﻣﺨﻄﻄﺎﺗﻬﺎ ﻟﻬﺬﺍ ﺁﻟﺖ ﺑﻬﺎ ﺇﻟﻰ ﻣﻄﻌﻢ ﻋﺎﺋﻠﻲ، ﺷﻌﺮﺕ ﺭﻭﺯﺍ ﺑﺄﻧّﻬﺎ ﻣﺪﻳﻨﺔٌ ﻟﻤﺎﺭﻳﺎ.,"Since that had turned into a local family restaurant, Rosa felt a little indebted to Maria.","Since that had turned into a local family restaurant, Rosa felt a little indebted to Maria.","Since that had turned into a local family restaurant, Rosa felt a little indebted to Maria."
,So she was prepared to spoil Maria a bit and let her have whatever she wanted tonight...,So she was prepared to spoil Maria a bit and let her have whatever she wanted tonight... ,So she was prepared to spoil Maria a bit and let her have whatever she wanted tonight...,なので、何を頼んでも許そうと今夜は少し甘いのだ…。,なので、何を頼んでも許そうと今夜は少し甘いのだ…。,"Так что она была готова побаловать Марию и дать ей всё, что она сегодня захочет...",Por isso ela estava preparada para mimar Maria um pouco e deixar ela fazer o que quisesses esta noite...,所以，允许女儿随便点餐，今晚稍稍宠宠真里亚…。,所以，允許女兒隨便點餐，今晚稍稍寵寵真里亞…。,Perciò si era preparata a viziare un po' Maria e a lasciarle ordinare qualsiasi cosa volesse stanotte...,So she was prepared to spoil Maria a bit and let her have whatever she wanted tonight...,Así que estaba lista para mimar un poco a María dejándola tener lo que quisiera esta noche...,ﻟﺬﻟﻚ ﻟﻢ ﺗﻤﺎﻧﻊ ﺗﺪﻟﻴﻠﻬﺎ ﻗﻠﻴﻼً ﻭﺗﺮﻛﻬﺎ ﺗﺤﺼﻞ ﻋﻠﻰ ﻛﻞ ﻣﺎ ﺗﺮﻳﺪﻩ ﺍﻟﻠﻴﻠﺔ...,So she was prepared to spoil Maria a bit and let her have whatever she wanted tonight...,So she was prepared to spoil Maria a bit and let her have whatever she wanted tonight...,So she was prepared to spoil Maria a bit and let her have whatever she wanted tonight...
Ushiromiya Ange,"""......I thought you weren't a very big eater, Maria onee‐chan? Are you sure you're going to be OK asking for this much?""","""...You never used to eat much, did you, Maria onee-chan? Was it really all right to order that much?"" ","""......You never used to eat much, did you Maria onee-chan?  Is it really alright to ask for this much?""",「……真里亞お姉ちゃんってあんまり食べないんじゃなかった？　こんなに頼んで大丈夫なの？」,「……真里亞お姉ちゃんってあんまり食べないんじゃなかった？　こんなに頼んで大丈夫なの？」,"""......Ты никогда не имела склонности столько есть, не так ли, Мария онее‐чан? Хорошо ли просить так много?""","""......Eu pensei que você não fosse de comer muito, Maria onee‐chan? Tem certeza que vai conseguir comer tudo isso?""",「……真里亚姐姐不是胃口不大么？点那么多不要紧吗？」,「……真里亞姐姐不是胃口不大麼？點那麼多不要緊嗎？」,"""... Di solito non mangiavi mai tanto, vero Maria Onee-chan? Sei sicura che non ci siano problemi ad ordinare così tante cose?""","""......I thought you weren't a very big eater, Maria onee‐chan? Are you sure you're going to be OK asking for this much?""","""... Tú nunca acostumbrabas a comer tanto, ¿o sí, María onee-chan? ¿Está de verdad bien que pidas tanto?""","""......ﻟﻢ ﺃﻛﻦ ﺃﻋﻠﻢ ﺑﺄﻧﻚ ﺗﺤﺒﻴﻦ ﺍﻷﻛﻞ ﺑﻬﺬﺍ ﺍﻟﻘﺪﺭ ﻳﺎ ﺃﺧﺘﻲ ﻣﺎﺭﻳﺎ! ﻫﻞ ﺳﺘﻜﻮﻧﻴﻦ ﺑﺨﻴﺮ ﺑﻌﺪ ﺃﻛﻞ ﻛﻞ ﻫﺬﺍ؟""","""......I thought you weren't a very big eater, Maria onee‐chan? Are you sure you're going to be OK asking for this much?""","""......I thought you weren't a very big eater, Maria onee‐chan? Are you sure you're going to be OK asking for this much?""","""......I thought you weren't a very big eater, Maria onee‐chan? Are you sure you're going to be OK asking for this much?"""
Ushiromiya Maria,"""Uu. I can't eat very much, but I like it when there's a lot lined up. You know, when you have a birthday table, and it's all multicolored with red and blue and green and yellow, it makes you really happy!""","""Uu-. I can't eat very much, but I like to have a lot lined up. You know, like on a birthday table? If it's colored all over with red and blue and green and yellow, it makes you really happy!"" ","""Uu-.  Maria can't eat very much, but likes to have a lot lined up.  You know, on a birthday table?  If it's fully colored with red and blue and green and yellow, it makes you really happy!""",「うー。あんまり食べられないけど、いっぱい並ぶのが好きなの。お誕生日のテーブルはね？　赤、青、緑に黄色、いっぱい色とりどりだと幸せになれるの！」,「うー。あんまり食べられないけど、いっぱい並ぶのが好きなの。お誕生日のテーブルはね？　赤、青、緑に黄色、いっぱい色とりどりだと幸せになれるの！」,"""У‐у. Марии не под силу столько съесть, но ей нравится, когда перед ней ставят много всяких разных блюд. На днерожденском столе, то бишь. Если он заставлен красным, голубым, зелёным и жёлтым, это делает тебя по‐настоящему счастливой!""","""Uu. Não consigo comer muito, mas gosto quando tem muitas opções. Quando você tem uma mesa de aniversário, e é tudo multicolorido, com vermelho e azul, verde e amarelo, isso deixa você mais feliz!""",「呜——。虽然吃不了很多，但真里亚喜欢桌上摆得满满的。生日餐桌呀，若有红、蓝、绿、黄，好多种颜色，五彩缤纷的话，就会感到很幸福哦！」,「嗚——。雖然吃不了很多，但真里亞喜歡桌上擺得滿滿的。生日餐桌呀，若有紅、藍、綠、黃，好多種顏色，五彩繽紛的話，就會感到很幸福哦！」,"""Uu-. Maria non riesce a mangiare tanto, ma le piace avere tante cose davanti. Sai, sul tavolo ad un compleanno? Se è tutto colorato col rosso e il blu e il verde e il giallo, ti fa tanto felice!""","""Uu. I can't eat very much, but I like it when there's a lot lined up. You know, when you have a birthday table, and it's all multicolored with red and blue and green and yellow, it makes you really happy!""","""Uu. María no puede comer mucho, pero le gusta tener mucho en la mesa. Ya sabes, cuando tienes una mesa de cumpleaños... ¡si está completamente adornada con rojo, azul, verde y amarillo, te hace muy feliz!""","""ﺃﻭﻭ. ﻻ ﻳﻤﻜﻨﻨﻲ ﺃﻛﻞ ﺍﻟﻜﺜﻴﺮ، ﻟﻜﻨّﻲ ﺃﺣﺐ ﺗﻮﺍﺟﺪ ﻣﺨﺘﻠﻒ ﺃﺻﻨﺎﻑ ﺍﻟﻄﻌﺎﻡ، ﻣﺜﻞ ﻃﺎﻭﻟﺔ ﺣﻔﻠﺔ ﻣﻴﻼﺩ! ﺗﻤﺘﺰﺝ ﻓﻴﻬﺎ ﺃﻟﻮﺍﻥٌ ﻛﺜﻴﺮﺓ، ﻟﺬﺍ ﺃﺷﻌﺮ ﺑﺴﻌﺎﺩﺓ ﻏﺎﻣﺮﺓ ﻋﻨﺪﻣﺎ ﺃﺭﻯ ﺫﻟﻚ!""","""Uu. I can't eat very much, but I like it when there's a lot lined up. You know, when you have a birthday table, and it's all multicolored with red and blue and green and yellow, it makes you really happy!""","""Uu. I can't eat very much, but I like it when there's a lot lined up. You know, when you have a birthday table, and it's all multicolored with red and blue and green and yellow, it makes you really happy!""","""Uu. I can't eat very much, but I like it when there's a lot lined up. You know, when you have a birthday table, and it's all multicolored with red and blue and green and yellow, it makes you really happy!"""
Ushiromiya Ange,"""...You're right. When a birthday table is colorful, it does make you feel happy, doesn't it? ......Birthdays at my place were no match for yours, Maria onee‐chan, but I remember the cakes we bought at the cake shop in front of the station were always gorgeous...""","""...You're right. Having your birthday table be colorful can make you feel happy. ...Birthdays at my place were no match for yours, Maria onee-chan, but the cakes we bought at the Fumiya store in front of the station were always gorgeous..."" ","""...You're right.  If a birthday table is colorful, you can start to feel happy.  ......Birthdays at my place were no match for yours, Maria onee-chan, but the cakes we bought at the Fumiya store in front of the station were always gorgeous, weren't they...""",「…そうね。お誕生日のテーブルって、カラフルだと幸せな気持ちになれるわね。……うちの誕生日は真里亞お姉ちゃんのところにはだいぶ負けるけど、駅前の不三家で買ってくるケーキがいつもとても華やかだったっけ…。」,「…そうね。お誕生日のテーブルって、カラフルだと幸せな気持ちになれるわね。……うちの誕生日は真里亞お姉ちゃんのところにはだいぶ負けるけど、駅前のケーキ屋さんで買ってくるケーキがいつもとても華やかだったっけ…」,"""...Ты права. Если стол в день рождения раскрашен цветным, ты начинаешь ощущать себя счастливым. ......Дни рождения в моём доме не годятся твоим в подмётки, Мария онее‐чан, но торты, которые мы покупали в магазине Фумия перед станцией, всегда были великолепны, это да...""","""...Você está certa. Quando uma mesa de aniversário é colorida, isso faz você se sentir feliz, não faz? ......Os aniversários na minha casa nem se comparam aos seus, Maria onee‐chan, mas lembro que bolo que comprávamos na confeitaria Fumiya, em frente a estação, era sempre lindo...""",「…是呢。生日餐桌若是绚丽多彩的话，心里就会感到很幸福呢。……我的生日虽然大大逊色于真里亚姐姐的，但好像也一直都有从站前的蛋糕店买的蛋糕增光添彩呢…」,「…是呢。生日餐桌若是絢麗多彩的話，心裡就會感到很幸福呢。……我的生日雖然大大遜色於真里亞姐姐的，但好像也一直都有從站前的蛋糕店買的蛋糕增光添彩呢…」,"""... Hai ragione. Se ad un compleanno la tavola è colorata, inizi già a sentirti felice. ... I compleanni a casa mia non reggono il confronto con i tuoi, Maria Onee-chan, ma le torte che compravamo da Fumiya di fronte alla stazione erano sempre stupende, eh...""","""...You're right. When a birthday table is colorful, it does make you feel happy, doesn't it? ......Birthdays at my place were no match for yours, Maria onee‐chan, but I remember the cakes we bought at the cake shop in front of the station were always gorgeous...""","""... Tienes razón. Si una mesa de cumpleaños tiene muchos colores, puedes empezar a sentirte feliz... Los cumpleaños en mi casa no se comparan con los tuyos, María onee-chan, pero los pasteles que comprábamos en la tienda Fumiya frente a la estación eran siempre increíbles, sí...""","""...ﻣﻌﻚ ﺣﻖ. ﻛﺜﺮﺓ ﺍﻷﻟﻮﺍﻥ ﻋﻠﻰ ﻃﺎﻭﻟﺔ ﺍﻟﻄﻌﺎﻡ ﺗﺴﻌﺪﻧﻲ ﺃﻳﻀًﺎ. ......ﺣﻔﻼﺕ ﻣﻴﻼﺩﻱ ﻻ ﺗﻘﺎﺭﻥ ﺑﺮﻭﻋﺔ ﺣﻔﻼﺗﻚِ ﻳﺎ ﺃﺧﺘﻲ. ﻟﻜﻨّﻲ ﺃﺫﻛﺮ ﻟﺬﺓ ﺗﻠﻚ ﺍﻟﻜﻌﻜﺎﺕ ﺍﻟﺘﻲ ﻧﺸﺘﺮﻳﻬﺎ ﻣﻦ ﺍﻟﻤﺤﻞ ﻣﻘﺎﺑﻞ ﺍﻟﻤﺤﻄﺔ.""","""...You're right. When a birthday table is colorful, it does make you feel happy, doesn't it? ......Birthdays at my place were no match for yours, Maria onee‐chan, but I remember the cakes we bought at the cake shop in front of the station were always gorgeous...""","""...You're right. When a birthday table is colorful, it does make you feel happy, doesn't it? ......Birthdays at my place were no match for yours, Maria onee‐chan, but I remember the cakes we bought at the cake shop in front of the station were always gorgeous...""","""...You're right. When a birthday table is colorful, it does make you feel happy, doesn't it? ......Birthdays at my place were no match for yours, Maria onee‐chan, but I remember the cakes we bought at the cake shop in front of the station were always gorgeous..."""
,Ange thought back to her own birthdays nostalgically.,Ange thought back to her own birthdays nostalgically. ,Ange thought back to her own birthday nostalgically.,縁寿は自分の誕生日を思い出し、懐かしむ。,縁寿は自分の誕生日を思い出し、懐かしむ。,Энджи с ностальгией вспомнила свой день рождения.,Ange pensou em seus aniversários de forma nostálgica.,缘寿想起了自己的生日，怀念了起来。,緣壽想起了自己的生日，懷念了起來。,Ange ripensò con nostalgia al suo compleanno.,Ange thought back to her own birthdays nostalgically.,Ange recordó su propio cumpleaños con nostalgia.,ﺑﺤﻨﻴﻦ، ﺗﺬﻛﺮﺕ ﺇﻧﺠﻲ ﺣﻔﻼﺕ ﻣﻴﻼﺩﻫﺎ.,Ange thought back to her own birthdays nostalgically.,Ange thought back to her own birthdays nostalgically.,Ange thought back to her own birthdays nostalgically.
