Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
Ushiromiya Battler,""".........The fourth twilight through the sixth twilight? Then, the corpses were pierced through the forehead, chest, and stomach with those demon stakes?""","""......The fourth through sixth twilights? Then, the corpses were pierced through the forehead, chest, and stomach with those demon stakes?"" ",""".........The fourth twilight through the sixth twilight? Then, the corpses were pierced through the forehead, chest, and stomach with those demon stakes?""",「………第四から第六の晩ってことか？　なら死体には、額、胸、腹にそれぞれ、例の悪魔の杭が？」,「………第四から第六の晩ってことか？　なら死体には、額、胸、腹にそれぞれ、例の悪魔の杭が？」,""".........С четвёртых по шестые сумерки? А значит, у трупов должны быть пробиты лоб, грудь и живот теми демоническими кинжалами?""",""".........O quarto até o sexto crepúsculo? Então, os cadáveres foram penetrados pela testa, peito e barriga, com aquelas estacas demoníacas?""",「………是第四到第六晚吗？那么，分别在三具尸体的额头、胸部、腹部插着那恶魔之桩吧？」,「………是第四到第六晚嗎？那麼，分別在三具屍體的額頭、胸部、腹部插著那惡魔之樁吧？」,"""... Il quarto e il quinto crepuscolo? Allora, questi cadaveri sono stati infilzati con quei pugnali diabolici nella fronte, nel petto e nello stomaco?""",""".........The fourth twilight through the sixth twilight? Then, the corpses were pierced through the forehead, chest, and stomach with those demon stakes?""","""... ¿Desde el cuarto hasta el sexto crepúsculo? Entonces, ¿los cadáveres fueron atravesados en la frente, pecho y estómago con esas estacas demoníacas?""",""".........ﻫﻞ ﻃُﻌﻨﺖ ﺍﻟﺠﺜﺚ ﻋﻠﻰ ﺍﻟﺘﻮﺍﻟﻲ ﻓﻲ ﻣﻨﻄﻘﺔ ﺍﻟﺮﺃﺱ ﻭﺍﻟﺼﺪﺭ ﻭﺍﻟﺒﻄﻦ ﻭﻓﻘًﺎ ﻟﻸﻏﺴﺎﻕ ﻣﻦ ﺍﻟﺮﺍﺑﻊ ﺇﻟﻰ ﺍﻟﺴﺎﺩﺱ؟""",""".........The fourth twilight through the sixth twilight? Then, the corpses were pierced through the forehead, chest, and stomach with those demon stakes?""",""".........The fourth twilight through the sixth twilight? Then, the corpses were pierced through the forehead, chest, and stomach with those demon stakes?""",""".........The fourth twilight through the sixth twilight? Then, the corpses were pierced through the forehead, chest, and stomach with those demon stakes?"""
{f:5:Virgilia},"""Yes. ......Into Rudolf's forehead, into Hideyoshi's chest, and into Kyrie's stomach: one demon stake buried into each.""","""Yes. ...The demon stakes were buried into them: one in Rudolf's forehead, one in Hideyoshi's chest, and one in Kyrie's stomach."" ","""Yes. ......The demon stakes were buried into them, one in Rudolf's forehead, one in Hideyoshi's chest, and one in Kyrie's stomach.",「はい。……留弗夫の額に一本。秀吉の胸に一本。そして霧江の腹部に一本、悪魔の杭が打ち込まれています。,「はい。……留弗夫の額に一本。秀吉の胸に一本。そして霧江の腹部に一本、悪魔の杭が打ち込まれています」,"""Да. ......Демонические кинжалы были вонзены в них: один — в лоб Рудольфа, один — в грудь Хидэёши и один — в живот Кирие.""","""Sim. ......Na testa de Rudolf, no peito de Hideyoshi e na barriga de Kyrie: uma estaca demoníaca enterrada em cada um.""",「是的。……留弗夫的额头。秀吉的胸部。还有雾江的腹部，各被打进了一根恶魔之桩。」,「是的。……留弗夫的額頭。秀吉的胸部。還有霧江的腹部，各被打進了一根惡魔之樁。」,"""Sì. ... I pugnali demoniaci erano conficcati nei cadaveri, uno nella fronte di Rudolf, uno nel petto di Hideyoshi, e uno nello stomaco di Kyrie.","""Yes. ......Into Rudolf's forehead, into Hideyoshi's chest, and into Kyrie's stomach: one demon stake buried into each.""","""Sí. En la frente de Rudolf, en el pecho de Hideyoshi, y en el estómago de Kyrie: una estaca demoníaca se clavó en cada uno.""","""ﻧﻌﻢ. ......ﻛﺎﻧﺖ ﺍﻷﻭﺗﺎﺩ ﻣﻐﺮﻭﺯﺓ ﺩﺍﺧﻞ ﺭﺃﺱ ﺭﻭﺩﻭﻟﻒ، ﻭﺻﺪﺭ ﻫﻴﺪﻳﻮﺷﻲ، ﻭﺁﺧﺮ ﻓﻲ ﺑﻄﻦ ﻛﻴﺮﻳﻲ.""","""Yes. ......Into Rudolf's forehead, into Hideyoshi's chest, and into Kyrie's stomach: one demon stake buried into each.""","""Yes. ......Into Rudolf's forehead, into Hideyoshi's chest, and into Kyrie's stomach: one demon stake buried into each.""","""Yes. ......Into Rudolf's forehead, into Hideyoshi's chest, and into Kyrie's stomach: one demon stake buried into each."""
{f:5:Virgilia},"""The clothing on all three was disordered, and because of this, it is thought that they had been fighting or running away. Since the three bodies were not found right next to each other, it is hypothesized that after coming into contact with the culprit, they attempted some form of resistance.""","""The disorder of the clothing on all three suggests that they were fighting or running away. Since the three corpses were not found right next to each other, it is hypothesized that after coming into contact with the culprit, they attempted some form of resistance."" "," The clothing on all three was disordered, and because of this, it is thought that they had been fighting or running away. Since the three corpses were not found right next to each other, it is hypothesized that after coming into contact with the culprit, they attempted some form of resistance.""",３人には争ったか、あるいは逃げ回るかしたと思われる着衣の乱れがあります。３人の遺体は寄り添ってはおらず、犯人と遭遇後、ある程度の抵抗を試みたと推定されます。」,「３人には争ったか、あるいは逃げ回るかしたと思われる着衣の乱れがあります。３人の遺体は寄り添ってはおらず、犯人と遭遇後、ある程度の抵抗を試みたと推定されます」,"""Одежда троицы оказалась потрёпанной, и это наводило на мысль, что они боролись и убегали. Поскольку трупы не были найдены в непосредственной близости друг от друга, можно было предположить, что при встрече с преступником они пытались как‐то сопротивляться.""","""A desordem em suas roupas sugere que eles estavam lutando ou fugindo. Como os três corpos não foram encontrados logo ao lado um do outro, a hipótese é de que, depois de entrarem em contato com o culpado, eles tentaram alguma forma de resistência.""",「三人的着装上，有像是打斗或胡乱逃跑所造成的凌乱痕迹。三人的遗体并非紧挨在一起，估计他们在遭遇犯人后，尝试了一定程度的抵抗。」,「三人的著裝上，有像是打鬥或胡亂逃跑所造成的凌亂痕跡。三人的遺體並非緊挨在一起，估計他們在遭遇犯人後，嘗試了一定程度的抵抗。」,"Gli abiti di tutti e tre erano in disordine, e per questo, si pensò che avessero cercato di difendersi o di scappare. Dato che i tre cadaveri non erano stati ritrovati l'uno accanto all'altro, si ipotizzò che dopo aver incontrato il colpevole, avessero cercato di resistere in qualche modo.""","""The clothing on all three was disordered, and because of this, it is thought that they had been fighting or running away. Since the three bodies were not found right next to each other, it is hypothesized that after coming into contact with the culprit, they attempted some form of resistance.""","""La ropa de los tres estaba desarreglada y, por ello, se cree que habían estado peleando o huyendo. Como los tres cadáveres no fueron encontrados uno al lado del otro, la hipótesis era que tras haber establecido contacto con el culpable, intentaron oponer resistencia de algún modo.""","""ﺑﺎﻟﺤﻜﻢ ﻋﻠﻰ ﻣﻼﺑﺴﻬﻢ ﻏﻴﺮ ﺍﻟﻤﺮﺗﺒﺔ، ﻓﻘﺪ ﻛﺎﻧﻮﺍ ﻏﺎﻟﺒًﺎ ﻓﻲ ﻗﺘﺎﻝ ﺃﻭ ﻳﺤﺎﻭﻟﻮﻥ ﺍﻟﻬﺮﺏ. ﻭﺑﻤّﺎ ﺃﻥ ﺍﻟﺠﺜﺚ ﻟﻴﺴﺖ ﻗﺮﻳﺒﺔ ﻣﻦ ﺑﻌﻀﻬﺎ، ﻓﻴﻤﻜﻦ ﺍﻟﻘﻮﻝ ﺑﺄﻧّﻬﻢ ﺃﺑﺪﻭﺍ ﺑﻌﺾ ﺍﻟﻤﻘﺎﻭﻣﺔ ﺿﺪّ ﺍﻟﺠﺎﻧﻲ.""","""The clothing on all three was disordered, and because of this, it is thought that they had been fighting or running away. Since the three bodies were not found right next to each other, it is hypothesized that after coming into contact with the culprit, they attempted some form of resistance.""","""The clothing on all three was disordered, and because of this, it is thought that they had been fighting or running away. Since the three bodies were not found right next to each other, it is hypothesized that after coming into contact with the culprit, they attempted some form of resistance.""","""The clothing on all three was disordered, and because of this, it is thought that they had been fighting or running away. Since the three bodies were not found right next to each other, it is hypothesized that after coming into contact with the culprit, they attempted some form of resistance."""
Ushiromiya Battler,""".........With stakes, in the forehead, chest, and stomach. ......Horrible, just like usual...""","""......And they had stakes in the forehead, chest, and stomach. ...Horrible, just like usual..."" ",""".........With stakes, in the forehead, chest, and stomach. ......Horrible, just like usual...""",「………杭で、額と胸と、腹をとか。……相変わらず、惨ぇ…。」,「………杭で、額と胸と、腹をとか。……相変わらず、惨ぇ…」,""".........С кинжалами во лбу, груди и животе. ......Кошмарно, как и всегда...""",""".........E receberam estacas na testa, peito e barriga. ......Horrível, como o usual...""",「………用桩扎进胸口、额头、腹部。……一如既往的，凄惨…」,「………用樁扎進胸口、額頭、腹部。……一如既往的，淒慘…」,"""... Con i pugnali, nella fronte, nel petto, e nello stomaco. ... Orribile, proprio come al solito...""",""".........With stakes, in the forehead, chest, and stomach. ......Horrible, just like usual...""","""... Con estacas, en la cabeza, pecho, y estómago... Horrible, como de costumbre...""","""....ﻣﺠﺪﺩًﺍ ﻃﻌﻨﻮﺍ ﺑﺎﻷﻭﺗﺎﺩ ﻓﻲ ﺍﻟﺮﺃﺱ ﻭﺍﻟﺒﻄﻦ ﻭﺍﻟﺼﺪﺭ. ......ﺑﺸﺎﻋﺔٌ ﻛﺎﻟﻌﺎﺩﺓ...""",""".........With stakes, in the forehead, chest, and stomach. ......Horrible, just like usual...""",""".........With stakes, in the forehead, chest, and stomach. ......Horrible, just like usual...""",""".........With stakes, in the forehead, chest, and stomach. ......Horrible, just like usual..."""
Ronove,""".................................""","""............"" ","""........................""",「……………………………。」,「……………………………」,"""........................""",""".................................""",「……………………………」,「……………………………」,"""...""",""".................................""","""...""",""".................................""",""".................................""",""".................................""","""................................."""
,"Even though Ronove knew it would be superfluous, he thought that maybe he should tell Battler.","Even though Ronove knew it would be superfluous, he contemplated telling Battler the truth. ","Even though Ronove knew it would be superfluous, he thought that maybe he should tell Battler.",ロノウェは蛇足と知りつつ、戦人に伝えるべきかと思った。,ロノウェは蛇足と知りつつ、戦人に伝えるべきかと思った。,"Хотя Ронове и понимал, что это будет излишним, он подумал, что ему следует рассказать об этом Баттлеру.","Mesmo que Ronove soubesse que seria supérfluo, ele pensou que talvez ele devesse contar a Battler.",明知这是多此一举，但罗诺威还是想到了，是否应该告诉战人。,明知這是多此一舉，但羅諾威還是想到了，是否應該告訴戰人。,"Pur sapendo che sarebbe stato superfluo, Ronove pensò che forse avrebbe dovuto dirlo a Battler.","Even though Ronove knew it would be superfluous, he thought that maybe he should tell Battler.","A pesar de que Ronove sabía que sería inútil, pensó que quizás debería decírselo a Battler.",ﻋﻠﻰ ﺍﻟﺮﻏﻢ ﻣﻦ ﺃﻥ ﺭﻭﻧﻮﻑ ﻳﻌﻠّﻢ ﺃﻻ ﺿﺮﻭﺭﺓ ﺗﺴﺘﺪﻋﻲ ﻗﻮﻝ ﻣﺎ ﺣﺪﺙ ﻟﻬﻢ ﻓﻲ ﺍﻟﺤﻘﻴﻘﺔ، ﺇﻻ ﺃﻧّﻪ ﻓﻜﺮ ﻓﻲ ﺇﺧﺒﺎﺭ ﺑﺎﺗﻠﺮ ﺑﻪ.,"Even though Ronove knew it would be superfluous, he thought that maybe he should tell Battler.","Even though Ronove knew it would be superfluous, he thought that maybe he should tell Battler.","Even though Ronove knew it would be superfluous, he thought that maybe he should tell Battler."
,"...In actuality, the witch had killed them in a much more horrible way.","...Normally, the witch would have killed them in a much, much more horrible way. ","...In actuality, the witch had killed them in a much more horrible way.",…本当は魔女は、彼らをもっともっと惨たらしく殺したのだ。,…本当は魔女は、彼らをもっともっと惨たらしく殺したのだ。,...В действительности же ведьма умертвила их гораздо более жутким способом.,"...Normalmente, a bruxa teria matado‐os de uma forma muito, muito mais horripilante.",…其实，魔女杀害他们的方式远比此更残酷。,…其實，魔女殺害他們的方式遠比此更殘酷。,"... In realtà, la strega li aveva uccisi in una maniera molto più raccapricciante.","...In actuality, the witch had killed them in a much more horrible way.","... En realidad, la bruja los había matado de una manera mucho más horrible.",...ﻓﻲ ﺍﻟﺤﻘﻴﻘﺔ، ﻟﻘﺪ ﻗﺘﻠﺘﻬﻢ ﺍﻟﺴﺎﺣﺮﺓ ﺑﻄﺮﻕ ﺃﻛﺜﺮ ﻓﻈﺎﻋﺔً ﺑﻜﺜﻴﺮ.,"...In actuality, the witch had killed them in a much more horrible way.","...In actuality, the witch had killed them in a much more horrible way.","...In actuality, the witch had killed them in a much more horrible way."
,"......Beato had advised the witch to restrain herself, which was why the corpses had been left so undamaged.",...The corpses had been left in this manner only because Beato had suggested to the witch that she show restraint. ,"......Beato had advised the witch to restrain herself, which was why the corpses had been left in this manner.",……ベアトがそれを控えるようにと魔女に進言したから、この程度の死体で済む。,……ベアトがそれを控えるようにと魔女に進言したから、この程度の死体で済む。,"......Беато посоветовала ведьме сдерживать себя, и именно поэтому трупы были оставлены подобным образом.","......Beato tinha aconselhado a bruxa a conter‐se, por isso os corpos tinham sido deixados tão ilesos.",……全靠贝阿朵针对这点向魔女提了意见，才能以这种程度的尸体了事。,……全靠貝阿朵針對這點向魔女提了意見，才能以這種程度的屍體了事。,"... Beato aveva consigliato alla strega di trattenersi, ed era per questo motivo che i cadaveri erano stati lasciati così.","......Beato had advised the witch to restrain herself, which was why the corpses had been left so undamaged.","... Beato había aconsejado a la bruja moderarse, razón por la que los cadáveres fueron dejados de esa manera.",......ﻭﻗﺪ ﻭﺟﺪﺕْ ﺍﻟﺠﺜﺚ ﻋﻠﻰ ﻫﺬﺍ ﺍﻟﺤﺎﻝ ﻓﻘﻂ ﻷﻥ ﺑﻴـﺎﺗﻮ ﺃﻣﺮّﺕ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺠﺪﻳﺪﺓ ﺃﻥ ﺗﻜّﺒﺢ ﺟﻤﺎﺡ ﻭﺣﺸﻴﺘﻬﺎ ﻗﻠﻴﻼً.,"......Beato had advised the witch to restrain herself, which was why the corpses had been left so undamaged.","......Beato had advised the witch to restrain herself, which was why the corpses had been left so undamaged.","......Beato had advised the witch to restrain herself, which was why the corpses had been left so undamaged."
,"The new and brutal witch, thinking that all she needed to do was get the ""gouged with a stake"" part right, ......might even have just stuck a stake into a lump of meat that wasn't even shaped like a {y:0:Human}{n:0:human}.","The new witch, thinking it would fit well enough as long as she gouged them with stakes, ...would probably have just stuck a stake into a lump of meat that wasn't even shaped like a Human. "," The new witch, thinking that it would fit as long as she gouged with a stake, ......would probably have just stuck a stake into a lump of meat that wasn't even shaped like a human.",あの新しき残忍な魔女は、杭で抉るというのさえ合っていればいいのだろうと、……ニンゲンの形さえ留めない肉塊に杭を立てることさえやったかもしれない。,あの新しき残忍な魔女は、杭で抉るというのさえ合っていればいいのだろうと、……ニンゲンの形さえ留めない肉塊に杭を立てることさえやったかもしれない。,"Новая ведьма, посчитав, что главное, лишь бы были вонзены кинжалы, наверняка бы просто воткнула кинжалы в гору мяса, по форме ни чем не похожую на {y:0:Челове}{n:0:челове}ка.","A nova bruxa, pensando que tudo funcionaria perfeitamente, desde que os goivasse com as estacas, ......provavelmente tinha apenas enfiado uma estaca em um monte de carne que sequer tinha mais a forma de um {y:0:Humano}{n:0:humano}.",那位残忍的新魔女，甚至搞不好会想着，“只要扎好桩就行了”，……然后留下一团直立着桩的不成人形的肉块。,那位殘忍的新魔女，甚至搞不好會想著，“只要扎好樁就行了”，……然後留下一團直立著樁的不成人形的肉塊。,"La nuova strega, pensando che non ci sarebbero stati problemi fintanto che avesse continuato ad usare i pugnali... con ogni probabilità ne avrebbe piantato uno in una massa di carne che non aveva nemmeno più la forma di un essere umano.","The new and brutal witch, thinking that all she needed to do was get the ""gouged with a stake"" part right, ......might even have just stuck a stake into a lump of meat that wasn't even shaped like a {y:0:Human}{n:0:human}.","La nueva bruja, pensando que mientras hubiera hueco, podría encajar una estaca... probablemente habría clavado la estaca hasta dejar un trozo de carne que no tendría forma humana.",ﺑﺎﻟﺘﺎﻟﻲ ﻇﻨّﺖ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺠﺪﻳﺪﺓ ﺑﺄﻥّ ﻫﻴﺌﺘﻬﻢ ﺗﻠﻚ ﻣﻨﺎﺳﺒﺔ، ﻭﻫﻜﺬﺍ ﻏﺮﺯﺕ ﺍﻷﻭﺗﺎﺩ ﻓﻲ ﺃﺟﺴﺎﺩﻫﻢ ﺣﺘﻰ ﺗُﺒﻌﺪ ﻋﻨّﻬﺎ ﺍﻟﺸﺒﻬﺎﺕ. ......ﻟﻮ ﻟﻢ ﺗﻔﻌﻞ ﺫﻟﻚ، ﻟﻜﺎﻧﺖ ﺍﻷﻭﺗﺎﺩ ﻣﻐﺮﻭﺯﺓً ﻓﻲ ﻗﻄﻊ ﻟﺤﻢ ﻻ ﺗﺸﺒﻪ ﺍﻹﻧﺴﺎﻥ ﺣﺘﻰ.,"The new and brutal witch, thinking that all she needed to do was get the ""gouged with a stake"" part right, ......might even have just stuck a stake into a lump of meat that wasn't even shaped like a {y:0:Human}{n:0:human}.","The new and brutal witch, thinking that all she needed to do was get the ""gouged with a stake"" part right, ......might even have just stuck a stake into a lump of meat that wasn't even shaped like a {y:0:Human}{n:0:human}.","The new and brutal witch, thinking that all she needed to do was get the ""gouged with a stake"" part right, ......might even have just stuck a stake into a lump of meat that wasn't even shaped like a {y:0:Human}{n:0:human}."
,"Rosa's and Maria's corpses would probably have been especially striking. ...If they had been killed as the Golden Witch had wished, just how gruesome would the exposed corpses have been?","Rosa's and Maria's corpses were a particularly striking example. ...If they'd been killed as the Golden Witch had wished, just how gruesome would the corpses have been? "," Rosa's and Maria's corpses were probably especially striking....If they had been killed as the Golden Witch had wished, just how gruesome would the exposed corpse have been? ",特に楼座と真里亞の死体が顕著だろう。…黄金の魔女が望んだ通りに殺したならば、どれほどに死体は凄惨な姿を曝したことか。,特に楼座と真里亞の死体が顕著だろう。…黄金の魔女が望んだ通りに殺したならば、どれほどに死体は凄惨な姿を曝したことか。,"С трупами Розы и Марии всё могло оказаться и того страшнее. ...Если бы они были убиты так, как того хотела Золотая Ведьма, тогда насколько ужасно должны были бы выглядеть их трупы?","Os cadáveres de Rosa e Maria eram um exemplo especialmente notável.{n}...Se elas tivessem sido mortas como a Bruxa Dourada tinha desejado, o quão grotesca estaria a aparência dos cadáveres?",特别是在楼座与真里亚的尸体上，这一点会尤为明显吧。…如果是照着黄金魔女的想法杀人，那就不知道会晒出怎样凄惨的尸体了。,特別是在樓座與真里亞的屍體上，這一點會尤為明顯吧。…如果是照著黃金魔女的想法殺人，那就不知道會晒出怎樣淒慘的屍體了。,"I corpi di Rosa e Maria sarebbero stati quasi di sicuro molto singolari. ... Se fossero state uccise nel modo in cui la Strega Dorata desiderava, quanto sarebbero stati raccapriccianti i cadaveri?","Rosa's and Maria's corpses would probably have been especially striking. ...If they had been killed as the Golden Witch had wished, just how gruesome would the exposed corpses have been?","Los cadáveres de Rosa y María probablemente fueron especialmente llamativos... Si ellas hubiesen sido asesinadas como la Bruja Dorada había deseado, ¿qué tan horribles habrían sido los cadáveres que encontraron?",ﻟﻮ ﺃﺧﺬﻧﺎ ﺟﺜﺘﺎ ﺭﻭﺯﺍ ﻭﻣﺎﺭﻳﺎ ﻛﻤﺜﺎﻝ. ...ﻓﻠّﻮ ﺃﻧّﻬﻤﺎ ﻗﺪ ﻗُﺘﻠﺘﺎ ﻛﻤّﺎ ﺃﺭﺍﺩﺕ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺬﻫﺒﻴﺔ، ﻟﻜﺎﻧﺖ ﺟﺜﺘﻬﻤﺎ ﺃﺑﺸﻊ ﻣﻤﺎ ﻳُﻤﻜﻦ ﻟﻠﻤﺮﺀ ﺗﺼﻮﺭﻩ.,"Rosa's and Maria's corpses would probably have been especially striking. ...If they had been killed as the Golden Witch had wished, just how gruesome would the exposed corpses have been?","Rosa's and Maria's corpses would probably have been especially striking. ...If they had been killed as the Golden Witch had wished, just how gruesome would the exposed corpses have been?","Rosa's and Maria's corpses would probably have been especially striking. ...If they had been killed as the Golden Witch had wished, just how gruesome would the exposed corpses have been?"
,"Beato had changed that into a kind of killing that Battler would have called ""still better"".","Beato had changed that into the ""still better"" kind of killing Battler had mentioned earlier. ","Beato had changed that into the 'still better' kind of killing Battler had spoken of.",それをベアトが戦人の言うところの“まだマシな”殺し方に改めた。,それをベアトが戦人の言うところの“まだマシな”殺し方に改めた。,"Беато изменила убийство в ""лучшую сторону"", следуя словам Баттлера.","Beato tinha mudado aquilo para um tipo de morte ""melhor"", que Battler havia mencionado antes.",多亏了贝阿朵，这才变成了战人所说的“还算能忍”的杀法。,多虧了貝阿朵，這才變成了戰人所說的“還算能忍”的殺法。,"Beato aveva scambiato quel modo di uccidere con uno che sarebbe stato ‘meno peggio’, come Battler aveva detto.","Beato had changed that into a kind of killing that Battler would have called ""still better"".","Beato había cambiado eso en ""la mejor"" manera de matar que Battler pudo estimar.","ﻭﻟﻬﺬﺍ ﻗﺎﻣﺖ ﺑﻴـﺎﺗﻮ ﺑﺘﻐﻴﻴﺮ ﺫﻟﻚ ﺇﻟﻰ ﻧﻮﻉ ""ﺃﻓﻀﻞ""، ﻭﺍﻟﺬﻱ ﺫﻛﺮﻩ ﺑﺎﺗﻠﺮ ﺳﺎﺑﻘًﺎ.","Beato had changed that into a kind of killing that Battler would have called ""still better"".","Beato had changed that into a kind of killing that Battler would have called ""still better"".","Beato had changed that into a kind of killing that Battler would have called ""still better""."
,"Wanting to have Beato's small bit of thoughtfulness appreciated, he thought of telling Battler about that.","Wanting to have Beato's small bit of thoughtfulness appreciated, he thought of telling Battler about this. "," And wanting to have Beato's small bit of thoughtfulness appreciated, he thought of telling Battler about that.",そのベアトのささやかな気遣いを評価してもらいたくて、戦人にそれを伝えようかとも思った。,そのベアトのささやかな気遣いを評価してもらいたくて、戦人にそれを伝えようかとも思った。,"И, желая отдать должное проявленной Беато скромной заботе, он решил рассказать об этом Баттлеру.","Querendo que essa pequena fração de consideração de Beato fosse apreciada, ele pensou em contar a Battler sobre isso.",希望着贝阿朵那小小的心意能获得评价，罗诺威想到了，要将此传达给战人。,希望著貝阿朵那小小的心意能獲得評價，羅諾威想到了，要將此傳達給戰人。,"E desiderando che la piccola gentilezza usata da Beato venisse apprezzata, Ronove pensò di parlarne a Battler.","Wanting to have Beato's small bit of thoughtfulness appreciated, he thought of telling Battler about that.","Y deseando que se apreciara el pequeño detalle de Beato, pensó en contárselo a Battler.",ﺃﻱّ ﺃﻥّ ﺍﻗﺘﺼﺎﺭ ﺿﺮﺭ ﺍﻟﺠﺜﺚ ﻋﻠﻰ ﻫﺬﺍ ﻫﻮ ﺑﻔﻀﻞ ﺑﻴـﺎﺗﻮ، ﻭﻟﻬﺬﺍ ﺍﻟﺴﺒﺐ ﻓﻜﺮ ﻓﻲ ﺇﺧﺒﺎﺭ ﺑﺎﺗﻠﺮ ﺑﺬﻟﻚ.,"Wanting to have Beato's small bit of thoughtfulness appreciated, he thought of telling Battler about that.","Wanting to have Beato's small bit of thoughtfulness appreciated, he thought of telling Battler about that.","Wanting to have Beato's small bit of thoughtfulness appreciated, he thought of telling Battler about that."
,"...But, for Battler, that might do more harm than good. To humans, the gap between being alive and being dead is very large.","...But judging by Battler's eyes, that might do more harm than good. To humans, the gap between being alive and being dead is very large. ","...But in Battler's eyes, that might do more harm than good. To humans, the gap between being alive and being dead is very large.",…しかし、そんなのは戦人にとっては五十歩百歩でしかないだろう。人間にとっては、生か死かの隔たりはあまりにも大きい。,…しかし、そんなのは戦人にとっては五十歩百歩でしかないだろう。人間にとっては、生か死かの隔たりはあまりにも大きい。,"...Но глаза Баттлера дали ему понять, что вреда это принесёт больше, чем пользы. Для людей разрыв между живыми и мёртвыми слишком велик.","...Mas, para Battler, isso podia fazer mais mal que bem. Para humanos, o vão entre estar vivo e estar morto é muito grande.",…可是，这些对战人来说，只不过是五十步笑百步吧。对于人类，生死之别大于天。,…可是，這些對戰人來說，只不過是五十步笑百步吧。對於人類，生死之別大於天。,"... Ma agli occhi di Battler, la cosa avrebbe potuto fare più male che bene. {n}Per gli esseri umani, il divario tra la vita e la morte è molto profondo.","...But, for Battler, that might do more harm than good. To humans, the gap between being alive and being dead is very large.","... Pero a los ojos de Battler, eso podría hacer más daño que bien. Para los humanos, la diferencia entre estar vivo y estar muerto es enorme.",...ﻟﻜﻦ ﺑﺎﻟﻨﺴﺒﺔ ﻟﺒﺎﺗﻠﺮ، ﻓﺈﻥ ﺫﻟﻚ ﻗﺪ ﻳﻀﺮّ ﺃﻛﺜﺮ ﻣﻤﺎ ﻳﻨﻔﻊ. ﻷﻥ ﺍﻟﺤﺪّ ﺑﻴﻦ ﺍﻟﺤﻴﺎﺓ ﻭﺍﻟﻤﻮﺕ ﻛﺒﻴﺮٌ ﺟﺪًﺍ ﺑﺎﻟﻨﺴﺒﺔ ﻟﻠﺒﺸﺮ.,"...But, for Battler, that might do more harm than good. To humans, the gap between being alive and being dead is very large.","...But, for Battler, that might do more harm than good. To humans, the gap between being alive and being dead is very large.","...But, for Battler, that might do more harm than good. To humans, the gap between being alive and being dead is very large."
